epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7701,1.11643,3.39713,1.25725,0.0047,0.90739,0.1741,0.12259,0.8214,3.33728,0.99522,0.00012221,0.00012221,0.00012221
2,26.735,1.06934,2.64604,1.22082,0.00392,0.91378,0.19372,0.13676,0.90136,3.04592,1.02231,0.000247098,0.000247098,0.000247098
3,38.5887,1.08126,2.12502,1.24122,0.58465,0.18647,0.22538,0.15684,1.0226,2.60614,1.1038,0.000363186,0.000363186,0.000363186
4,50.6897,1.03012,1.91684,1.21392,0.35847,0.33155,0.30644,0.21058,1.05787,2.37881,1.13882,0.000470475,0.000470475,0.000470475
5,63.6097,1.08493,1.8059,1.23331,0.42706,0.29749,0.28703,0.17158,1.23799,2.37874,1.2853,0.000568965,0.000568965,0.000568965
6,75.7734,1.08289,1.71156,1.22242,0.36032,0.18769,0.11217,0.051,1.76895,3.58501,2.30641,0.000658656,0.000658656,0.000658656
7,89.0791,1.07364,1.7035,1.21741,0.39338,0.17454,0.13515,0.06956,1.50877,3.36935,1.67369,0.000739548,0.000739548,0.000739548
8,102.372,1.10087,1.57071,1.22701,0.37481,0.29559,0.25273,0.14847,1.42158,2.94196,1.48133,0.000811641,0.000811641,0.000811641
9,114.613,1.06953,1.51421,1.20045,0.24727,0.31076,0.21019,0.1246,1.36991,2.64098,1.52534,0.000817696,0.000817696,0.000817696
10,127.201,1.10561,1.53653,1.22084,0.35182,0.39449,0.30814,0.18317,1.27735,2.49544,1.33053,0.000781033,0.000781033,0.000781033
11,139.022,1.08248,1.49145,1.20147,0.30086,0.35647,0.22392,0.12476,1.31215,2.6039,1.33999,0.00074437,0.00074437,0.00074437
12,150.942,1.06176,1.42008,1.18232,0.42561,0.42563,0.36979,0.21693,1.19308,1.95447,1.32087,0.000707707,0.000707707,0.000707707
13,163.862,1.01281,1.31937,1.17473,0.43234,0.44937,0.37582,0.22618,1.19592,2.02024,1.28682,0.000671044,0.000671044,0.000671044
14,175.596,1.04638,1.32712,1.18021,0.51387,0.48553,0.46907,0.30628,1.11768,1.69944,1.22906,0.000634381,0.000634381,0.000634381
15,187.5,1.03206,1.25236,1.17383,0.63673,0.50542,0.5224,0.35227,1.12381,1.5548,1.24035,0.000597718,0.000597718,0.000597718
16,200.003,0.98947,1.17523,1.15121,0.65947,0.53074,0.55163,0.36423,1.1671,1.54134,1.27001,0.000561055,0.000561055,0.000561055
17,212.105,0.9805,1.15793,1.14076,0.67959,0.53875,0.58337,0.3903,1.14421,1.38477,1.22531,0.000524392,0.000524392,0.000524392
18,224.266,0.9478,1.07794,1.12649,0.68631,0.58527,0.64322,0.44077,1.07028,1.31634,1.16543,0.000487729,0.000487729,0.000487729
19,235.632,0.91503,1.06082,1.11264,0.63026,0.58678,0.6122,0.43392,1.03263,1.23086,1.13007,0.000451066,0.000451066,0.000451066
20,248.135,0.92652,1.0307,1.11949,0.63886,0.59556,0.62343,0.43032,1.04029,1.33379,1.13273,0.000414403,0.000414403,0.000414403
21,264.762,0.86874,1.01911,1.07558,0.63742,0.5635,0.58366,0.40015,1.0508,1.48547,1.12993,0.00037774,0.00037774,0.00037774
22,275.758,0.84816,0.93431,1.05893,0.65405,0.60544,0.62221,0.43375,1.03476,1.39146,1.12257,0.000341077,0.000341077,0.000341077
23,287.338,0.8081,0.86607,1.02485,0.69408,0.59548,0.66039,0.46883,1.00719,1.17426,1.10713,0.000304414,0.000304414,0.000304414
24,299.041,0.78744,0.79913,1.0288,0.72385,0.59055,0.66668,0.47437,1.00653,1.13441,1.09299,0.000267751,0.000267751,0.000267751
25,311.971,0.79368,0.76057,1.02567,0.7365,0.62248,0.68118,0.49811,0.97158,1.10792,1.09092,0.000231088,0.000231088,0.000231088
26,323.628,0.76851,0.75441,1.00148,0.67974,0.64588,0.66472,0.4826,0.95888,1.14039,1.09829,0.000194425,0.000194425,0.000194425
27,336.265,0.75764,0.70924,1.02223,0.71265,0.61978,0.68059,0.49676,0.95176,1.07124,1.08568,0.000157762,0.000157762,0.000157762
28,347.873,0.72394,0.67038,0.98741,0.70586,0.57912,0.65322,0.48152,0.9447,1.09691,1.09679,0.000121099,0.000121099,0.000121099
29,360.31,0.6921,0.63641,0.98467,0.73816,0.62602,0.69559,0.51508,0.93261,1.04849,1.07394,8.4436e-05,8.4436e-05,8.4436e-05
30,373.479,0.70478,0.6423,0.98521,0.69503,0.67946,0.69458,0.51475,0.93059,1.01825,1.07912,4.7773e-05,4.7773e-05,4.7773e-05
