epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0144,1.0921,3.08029,1.23116,0.00448,0.92917,0.1943,0.13504,0.88822,3.02173,1.01763,0.00021109,0.00021109,0.00021109
2,40.5615,1.06959,1.9731,1.19578,0.67682,0.09164,0.29277,0.19205,1.07975,2.62344,1.12813,0.000418991,0.000418991,0.000418991
3,57.8579,1.07394,1.76013,1.20109,0.41924,0.3223,0.32908,0.22563,1.1127,2.33872,1.21755,0.000612228,0.000612228,0.000612228
4,75.4026,1.11641,1.64088,1.22023,0.62486,0.21971,0.23194,0.14096,1.37846,2.79698,1.56776,0.000790799,0.000790799,0.000790799
5,93.0688,1.13122,1.62118,1.23124,0.26965,0.27307,0.18841,0.09427,1.47922,2.80342,1.67807,0.000954705,0.000954705,0.000954705
6,110.049,1.12521,1.5324,1.22245,0.39245,0.36343,0.26503,0.13777,1.53778,3.49371,1.80045,0.000927685,0.000927685,0.000927685
7,127.893,1.11522,1.46124,1.21977,0.45078,0.23393,0.24483,0.14992,1.3819,2.49127,1.60261,0.000891022,0.000891022,0.000891022
8,145.985,1.10485,1.4429,1.20267,0.55761,0.34858,0.3552,0.21686,1.28425,2.09132,1.40743,0.000854359,0.000854359,0.000854359
9,163.358,1.0672,1.33431,1.18117,0.70866,0.41583,0.47182,0.29892,1.18204,1.74044,1.30443,0.000817696,0.000817696,0.000817696
10,180.489,1.04975,1.26304,1.17113,0.52,0.45152,0.4667,0.28914,1.21127,1.55214,1.28883,0.000781033,0.000781033,0.000781033
11,197.918,1.04452,1.23753,1.1689,0.57377,0.57319,0.55366,0.37914,1.0892,1.43367,1.19546,0.00074437,0.00074437,0.00074437
12,215.036,1.01798,1.16799,1.16965,0.64491,0.43108,0.41309,0.27261,1.16638,1.78608,1.30547,0.000707707,0.000707707,0.000707707
13,232.181,1.01239,1.12374,1.1546,0.78058,0.51622,0.58983,0.41835,1.04283,1.25746,1.1615,0.000671044,0.000671044,0.000671044
14,249.291,0.98014,1.03095,1.13757,0.6092,0.60282,0.62727,0.42402,1.11683,1.29316,1.21606,0.000634381,0.000634381,0.000634381
15,267.274,0.97417,1.064,1.13999,0.62418,0.60371,0.62107,0.41778,1.1098,1.28817,1.19353,0.000597718,0.000597718,0.000597718
16,285.168,0.94796,0.99414,1.11684,0.72648,0.54006,0.62204,0.45306,1.02736,1.24308,1.14227,0.000561055,0.000561055,0.000561055
17,302.787,0.94965,1.0031,1.12646,0.63473,0.58585,0.62742,0.44682,1.0084,1.23925,1.14717,0.000524392,0.000524392,0.000524392
18,320.25,0.92976,0.93502,1.11221,0.74478,0.63733,0.71079,0.5103,1.0233,1.04619,1.12288,0.000487729,0.000487729,0.000487729
19,337.768,0.90739,0.87794,1.10145,0.63723,0.61366,0.64287,0.45551,1.02542,1.13614,1.13526,0.000451066,0.000451066,0.000451066
20,355.503,0.93295,0.89916,1.10952,0.73084,0.66919,0.733,0.53918,0.97757,1.00634,1.11266,0.000414403,0.000414403,0.000414403
21,378.689,0.86125,0.80817,1.07158,0.72215,0.61726,0.67375,0.48308,0.99056,1.12867,1.1171,0.00037774,0.00037774,0.00037774
22,395.007,0.82288,0.74616,1.03212,0.72265,0.66691,0.71835,0.52242,0.97938,1.00799,1.10525,0.000341077,0.000341077,0.000341077
23,411.428,0.81082,0.692,1.0256,0.81062,0.65225,0.75807,0.56142,0.96682,0.94292,1.09476,0.000304414,0.000304414,0.000304414
24,428.524,0.80258,0.67674,1.02273,0.74654,0.65763,0.72287,0.52923,0.9612,0.99474,1.09557,0.000267751,0.000267751,0.000267751
25,445.495,0.77648,0.62708,1.01095,0.76039,0.66509,0.74345,0.55137,0.95792,0.99004,1.11473,0.000231088,0.000231088,0.000231088
26,462.842,0.76191,0.6065,1.01993,0.85085,0.66094,0.77151,0.58153,0.91984,0.89396,1.06784,0.000194425,0.000194425,0.000194425
27,479.803,0.73595,0.57907,0.98961,0.8057,0.66527,0.76974,0.56949,0.92955,0.90554,1.08201,0.000157762,0.000157762,0.000157762
28,496.524,0.73072,0.54078,0.99062,0.81152,0.68583,0.77137,0.57926,0.92314,0.87522,1.07452,0.000121099,0.000121099,0.000121099
29,512.704,0.71214,0.52144,0.9827,0.81417,0.71328,0.79198,0.59701,0.91087,0.85378,1.06447,8.4436e-05,8.4436e-05,8.4436e-05
30,530.606,0.69526,0.50476,0.97288,0.87583,0.6813,0.7958,0.60057,0.90033,0.84743,1.05555,4.7773e-05,4.7773e-05,4.7773e-05
