epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.7653,1.16631,2.90382,1.26069,0.44798,0.06857,0.19328,0.13641,0.96035,2.75067,1.08071,0.00034441,0.00034441,0.00034441
2,65.6668,1.19559,2.11816,1.28417,0.30649,0.40181,0.28763,0.18495,1.21018,2.20766,1.30548,0.000676832,0.000676832,0.000676832
3,96.545,1.25376,2.03921,1.31107,0.20764,0.28377,0.16023,0.09205,1.48081,2.77408,1.60988,0.00098579,0.00098579,0.00098579
4,126.145,1.25489,1.93572,1.30569,0.26051,0.19078,0.14749,0.07175,1.66018,2.79218,2.20106,0.00100101,0.00100101,0.00100101
5,157.202,1.25385,1.86839,1.31455,0.52495,0.35545,0.31402,0.16648,1.41774,2.43326,1.49099,0.000964348,0.000964348,0.000964348
6,188.132,1.20987,1.74151,1.27663,0.36896,0.35376,0.21312,0.12803,1.3396,2.7021,1.50323,0.000927685,0.000927685,0.000927685
7,218.701,1.1641,1.64472,1.24664,0.37176,0.41784,0.38163,0.23352,1.16019,1.89588,1.27879,0.000891022,0.000891022,0.000891022
8,252.174,1.18698,1.61394,1.26006,0.53292,0.44922,0.46012,0.29789,1.09457,1.63861,1.19786,0.000854359,0.000854359,0.000854359
9,283.513,1.15192,1.56071,1.24406,0.58424,0.53349,0.54774,0.35495,1.09689,1.45111,1.21541,0.000817696,0.000817696,0.000817696
10,314.498,1.15301,1.48284,1.22729,0.55339,0.43044,0.4531,0.3083,1.05727,1.60572,1.18524,0.000781033,0.000781033,0.000781033
11,346.839,1.12407,1.41408,1.21646,0.54866,0.60537,0.57251,0.38359,1.12346,1.37797,1.20661,0.00074437,0.00074437,0.00074437
12,377.748,1.09773,1.35905,1.20764,0.59935,0.51223,0.55146,0.37026,1.18589,1.66992,1.21608,0.000707707,0.000707707,0.000707707
13,408.028,1.07626,1.34726,1.19815,0.55286,0.53554,0.52523,0.37628,1.05754,1.43355,1.14614,0.000671044,0.000671044,0.000671044
14,438.719,1.07946,1.31781,1.20277,0.69704,0.57724,0.61163,0.41188,1.04198,1.31453,1.16717,0.000634381,0.000634381,0.000634381
15,469.36,1.07381,1.25262,1.18908,0.72285,0.61302,0.70388,0.51085,0.99525,1.12962,1.11542,0.000597718,0.000597718,0.000597718
16,500.871,1.04961,1.23211,1.18929,0.65365,0.59895,0.61297,0.44122,0.99188,1.18093,1.11665,0.000561055,0.000561055,0.000561055
17,534.065,1.04758,1.18949,1.17465,0.70973,0.64237,0.71905,0.51987,0.99576,1.05844,1.13348,0.000524392,0.000524392,0.000524392
18,566.387,1.02261,1.14915,1.1633,0.77992,0.67191,0.75479,0.54258,0.96027,0.98088,1.08912,0.000487729,0.000487729,0.000487729
19,600.164,1.01817,1.12074,1.15912,0.75619,0.6677,0.7478,0.54892,0.96504,0.98054,1.09042,0.000451066,0.000451066,0.000451066
20,632.853,0.99164,1.08801,1.15374,0.73936,0.64123,0.72707,0.53484,0.95191,1.01478,1.10535,0.000414403,0.000414403,0.000414403
21,671.963,0.97444,1.0104,1.1117,0.72819,0.63615,0.69822,0.50606,0.94793,1.21401,1.08941,0.00037774,0.00037774,0.00037774
22,702.648,0.94942,0.93051,1.1087,0.76738,0.72085,0.78909,0.58057,0.93795,0.89569,1.07822,0.000341077,0.000341077,0.000341077
23,734.906,0.93029,0.86226,1.09909,0.81176,0.6638,0.75724,0.56552,0.92616,0.95272,1.09092,0.000304414,0.000304414,0.000304414
24,766.293,0.93561,0.85912,1.09665,0.80382,0.72119,0.79976,0.60579,0.91067,0.87152,1.07389,0.000267751,0.000267751,0.000267751
25,798.327,0.90535,0.80756,1.08943,0.84559,0.72453,0.81742,0.61901,0.90675,0.83366,1.07742,0.000231088,0.000231088,0.000231088
26,829.958,0.89066,0.77122,1.06939,0.85679,0.73836,0.82264,0.62284,0.90291,0.79624,1.0648,0.000194425,0.000194425,0.000194425
27,861.507,0.86958,0.72127,1.06423,0.86081,0.73444,0.82623,0.62467,0.89762,0.79543,1.06112,0.000157762,0.000157762,0.000157762
28,892.689,0.86049,0.6895,1.06175,0.87454,0.74092,0.81853,0.62786,0.87712,0.78436,1.04592,0.000121099,0.000121099,0.000121099
29,923.294,0.83253,0.67228,1.04424,0.88884,0.73126,0.82651,0.63409,0.88457,0.77227,1.0465,8.4436e-05,8.4436e-05,8.4436e-05
30,954.48,0.82973,0.63871,1.04245,0.8837,0.73717,0.83263,0.63899,0.87648,0.76,1.04621,4.7773e-05,4.7773e-05,4.7773e-05
