strategy,seed,round,n_labeled,frac,val_mAP50,test_mAP50,test_mAP50_95,AP_cardboard,AP_paper,AP_glass,AP_metal,AP_plastic,nlab_cardboard,nlab_paper,nlab_glass,nlab_metal,nlab_plastic,picks_sha,train_s
coreset,13,0,505,0.05,0.6944310875298714,0.7532141447794709,0.5499404863389167,0.4838736933695692,0.5556269661483559,0.6668761084998391,0.4609780714757739,0.5823475922010451,21,69,92,77,253,95a4ded40c4f6c26,428.89387583732605
coreset,13,1,757,0.075,0.7499762824045831,0.7797619021377582,0.58792053287629,0.5551355506841774,0.5663450684888217,0.6953370631730469,0.48509531951297247,0.6376896625224318,49,112,117,104,403,8a32df6b9fa02cb7,387.0055236816406
coreset,13,2,1010,0.1,0.7744083187674241,0.82224696292501,0.6165521164308946,0.5968446701168795,0.6094387579640259,0.7099122908105305,0.49865439439628423,0.6679104688667528,64,138,135,135,577,d8c8eff651c22116,424.66174960136414
coreset,13,3,1262,0.125,0.7437427717931947,0.8170747735200925,0.6187992485524357,0.6304664470541375,0.5939484598890449,0.7197981750861132,0.4851801317552903,0.6646030289775929,84,179,167,175,708,4546f3e63a8ed98b,484.224892616272
coreset,13,4,1515,0.15,0.790479373912294,0.8448404205257065,0.6368500567789771,0.671412258913639,0.617757966720893,0.7064351711369756,0.514739447644028,0.6739054394793497,108,228,190,211,842,1bcbb29661c3f105,550.8119122982025
coreset,13,5,1767,0.175,0.8092327514385736,0.8539530723787555,0.6533052209460923,0.6572362880827013,0.6429332227128014,0.7368585599654692,0.5376543383458932,0.6918436956235972,120,258,231,251,980,ecbc3b952d9a1ee0,633.5489273071289
coreset,13,6,2020,0.2,0.8145098291341881,0.8674712749532786,0.6619830376415949,0.6710109326030848,0.6503384249099369,0.7480832507301518,0.5469812492726287,0.6935013306921725,142,304,264,275,1122,66acdb3451f5307d,677.9130880832672
coreset,42,0,505,0.05,0.6703649520263113,0.7322260560457202,0.5306681974395516,0.5852697367274494,0.5164047921505612,0.5987755068879423,0.366760306842412,0.586130644589393,27,63,86,82,261,eff935a37367753a,340.0450098514557
coreset,42,1,757,0.075,0.7535323584713551,0.7967405021844811,0.5861336094716453,0.6120640802336965,0.6022778115088013,0.6483326266562125,0.4454131265182088,0.6225804024413073,62,99,109,106,405,cd8b87f5f6ca4ec2,385.28364729881287
coreset,42,2,1010,0.1,0.7625839264286001,0.8126660565938721,0.6074215005020549,0.6373045586457317,0.6042144245484157,0.6827754516216391,0.4724096372656832,0.6404034304288047,78,156,136,140,542,79c1840f873a7beb,424.97598671913147
coreset,42,3,1262,0.125,0.781640259520864,0.8165656092407699,0.6160836263208336,0.639128661747126,0.6078084320191616,0.6878864034262983,0.481922465915085,0.6636721684964976,103,197,169,174,678,072a36c7a00dbb2a,482.9922089576721
coreset,42,4,1515,0.15,0.8024361263273455,0.8415017258135793,0.6377809736491332,0.7025756216675226,0.6262100890271526,0.6876037817369772,0.5083202936121458,0.6641950822018681,118,228,201,219,815,f7f1aa76be31493f,546.5659024715424
coreset,42,5,1767,0.175,0.815691463504414,0.8586643804478221,0.6505003817953736,0.6573548803845668,0.6323047960335602,0.7454114319636951,0.530416122192978,0.6870146784020672,135,266,237,254,953,449561b3fbde49b7,619.7308106422424
coreset,42,6,2020,0.2,0.8292768961841489,0.8672778551488957,0.6626360491185643,0.6758569600076568,0.6549869748875964,0.7604892444967684,0.5362964377679381,0.6855506284328626,149,306,272,280,1102,635df53c3fc8bab2,685.0978457927704
coreset,1337,0,505,0.05,0.6921568196035632,0.7652681014509739,0.5723520572029117,0.6048018445056129,0.5635929057427583,0.650340883401485,0.4262640365050322,0.6167606158596699,29,68,80,82,256,2223089721c347f2,343.78102850914
coreset,1337,1,757,0.075,0.7081495015394171,0.7790865379167677,0.5801852208950917,0.6102639111295337,0.5930671785987434,0.6539207665531702,0.43858128769513505,0.6050929604988758,49,108,102,109,411,d0fe19413647a63b,379.22213864326477
coreset,1337,2,1010,0.1,0.7516887119992957,0.7963665260601608,0.5936748148705867,0.6117711256194738,0.588914705068895,0.6798864573501553,0.47958537287725855,0.6082164134371509,64,149,132,146,552,e3fbd5b093906024,419.8995187282562
coreset,1337,3,1262,0.125,0.7556624500944349,0.8241354106844423,0.6186251548499736,0.666399873860786,0.5964981739067744,0.6932751290730631,0.4905369393088478,0.6464156581003965,85,191,160,179,698,2a5c95daca64eb9c,496.6478056907654
coreset,1337,4,1515,0.15,0.7564716962911044,0.8297434058277491,0.6225910453839871,0.6463440551687796,0.6112094448078368,0.7080116470667025,0.49713868054005844,0.6502513993365588,108,231,198,205,838,4ce6887256543b1d,562.1937899589539
coreset,1337,5,1767,0.175,0.7758354749505231,0.8509759677274132,0.6442461911080675,0.6794919906326411,0.6457057183956876,0.7136137543114793,0.520616402467513,0.6618030897330164,122,275,225,245,980,977c7993cd1d955e,648.251912355423
coreset,1337,6,2020,0.2,0.8140579298320862,0.848275659078389,0.6514694866762042,0.665849182616761,0.6578674209535329,0.7425848519051126,0.5220494535742448,0.6689965243313691,136,310,269,270,1123,9721820dd98c9fc5,721.986076593399
