epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3194,1.10404,3.38973,1.22812,0.00402,0.89316,0.17261,0.12091,0.83807,3.36315,1.00525,0.00012221,0.00012221,0.00012221
2,28.5811,1.06329,2.56648,1.20695,0.23226,0.22247,0.2291,0.17169,0.87248,3.04569,1.02285,0.000247098,0.000247098,0.000247098
3,41.4637,1.04917,2.05021,1.20289,0.69765,0.06323,0.23999,0.15908,1.04947,2.93727,1.22005,0.000363186,0.000363186,0.000363186
4,54.0774,1.04748,1.80388,1.20022,0.47072,0.27617,0.29114,0.20484,1.05522,2.48785,1.19794,0.000470475,0.000470475,0.000470475
5,66.7418,1.05565,1.7025,1.2108,0.49369,0.30207,0.26603,0.16629,1.1967,2.84456,1.31669,0.000568965,0.000568965,0.000568965
6,79.588,1.06988,1.56735,1.19598,0.40798,0.38512,0.32709,0.22604,1.17594,2.42775,1.30677,0.000658656,0.000658656,0.000658656
7,92.2566,1.0798,1.58483,1.19071,0.34431,0.28331,0.1734,0.09875,1.43662,3.24188,1.63814,0.000739548,0.000739548,0.000739548
8,104.749,1.08597,1.51106,1.20955,0.43426,0.29196,0.29281,0.17562,1.26756,2.37881,1.36058,0.000811641,0.000811641,0.000811641
9,117.125,1.0913,1.49998,1.21079,0.14483,0.2669,0.10713,0.04942,1.65349,6.70103,2.16845,0.000817696,0.000817696,0.000817696
10,130.085,1.09739,1.51154,1.20583,0.48588,0.32064,0.23023,0.13877,1.25731,3.13836,1.34984,0.000781033,0.000781033,0.000781033
11,142.756,1.05595,1.38029,1.18937,0.45899,0.45077,0.36191,0.21248,1.25945,2.08941,1.38854,0.00074437,0.00074437,0.00074437
12,155.566,1.03537,1.3289,1.16815,0.48547,0.4361,0.37653,0.25369,1.15345,2.05193,1.2827,0.000707707,0.000707707,0.000707707
13,168.025,1.03552,1.30188,1.17904,0.41699,0.49471,0.42676,0.27854,1.13571,1.693,1.2454,0.000671044,0.000671044,0.000671044
14,181.411,0.98031,1.1951,1.14569,0.52451,0.52453,0.50135,0.34597,1.09314,1.54163,1.23228,0.000634381,0.000634381,0.000634381
15,193.647,1.00157,1.17593,1.15862,0.456,0.50539,0.4215,0.26753,1.13761,1.8643,1.25905,0.000597718,0.000597718,0.000597718
16,207.026,0.95132,1.08697,1.11984,0.6047,0.60889,0.61114,0.42437,1.07561,1.37333,1.19256,0.000561055,0.000561055,0.000561055
17,219.519,0.96142,1.06775,1.13208,0.66942,0.54216,0.57244,0.38721,1.13257,1.46559,1.24618,0.000524392,0.000524392,0.000524392
18,232.383,0.94983,1.01822,1.12921,0.62051,0.57513,0.58057,0.39347,1.14509,1.494,1.23168,0.000487729,0.000487729,0.000487729
19,245.121,0.9283,1.0006,1.11806,0.58374,0.52535,0.5589,0.37818,1.07842,1.54203,1.21278,0.000451066,0.000451066,0.000451066
20,257.842,0.93232,0.98058,1.11172,0.67753,0.58988,0.62954,0.44043,1.05049,1.3161,1.18563,0.000414403,0.000414403,0.000414403
21,275.689,0.84281,0.96776,1.05504,0.57687,0.5641,0.51715,0.35447,1.04509,1.44403,1.18274,0.00037774,0.00037774,0.00037774
22,287.258,0.80468,0.86265,1.04686,0.61057,0.58623,0.56353,0.39019,1.05292,1.38614,1.18743,0.000341077,0.000341077,0.000341077
23,299.183,0.78857,0.82757,1.02744,0.6729,0.59828,0.60838,0.44191,0.98613,1.32134,1.13418,0.000304414,0.000304414,0.000304414
24,311.561,0.77193,0.76745,1.02455,0.69392,0.61334,0.64463,0.46368,1.01205,1.20548,1.15375,0.000267751,0.000267751,0.000267751
25,324.241,0.75223,0.72442,0.99735,0.74514,0.61885,0.68546,0.49787,0.96629,1.11443,1.1199,0.000231088,0.000231088,0.000231088
26,336.431,0.74613,0.70224,1.00372,0.73866,0.57847,0.65071,0.46976,0.96908,1.27042,1.11844,0.000194425,0.000194425,0.000194425
27,349.303,0.72466,0.68863,0.99404,0.81559,0.61056,0.69338,0.5137,0.97146,1.08345,1.11372,0.000157762,0.000157762,0.000157762
28,362.18,0.71614,0.6562,0.98246,0.75614,0.6543,0.72433,0.53928,0.94876,1.01404,1.1066,0.000121099,0.000121099,0.000121099
29,374.778,0.68001,0.62164,0.9815,0.80239,0.65181,0.74091,0.55003,0.93915,0.98493,1.09759,8.4436e-05,8.4436e-05,8.4436e-05
30,387.48,0.67578,0.59173,0.96806,0.79339,0.66139,0.74753,0.55518,0.93427,0.96909,1.09193,4.7773e-05,4.7773e-05,4.7773e-05
