epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1516,1.14553,3.3456,1.27842,0.00507,0.92519,0.16915,0.11875,0.84504,3.2574,1.00197,0.00016665,0.00016665,0.00016665
2,29.2583,1.12823,2.24675,1.2427,0.73436,0.10147,0.23361,0.16429,1.00145,2.57903,1.09437,0.000333044,0.000333044,0.000333044
3,41.8802,1.13131,1.95462,1.25893,0.49643,0.27574,0.25588,0.16333,1.19051,2.52915,1.31402,0.000487707,0.000487707,0.000487707
4,54.6689,1.17102,1.87516,1.25366,0.44311,0.27595,0.18155,0.09979,1.30012,2.67621,1.37199,0.000630637,0.000630637,0.000630637
5,67.0807,1.14434,1.77703,1.25031,0.43029,0.36389,0.29618,0.16523,1.28041,2.46329,1.35631,0.000761835,0.000761835,0.000761835
6,80.0347,1.19735,1.75132,1.27996,0.26575,0.31364,0.21635,0.10033,1.76171,2.74616,2.06753,0.000881301,0.000881301,0.000881301
7,92.5425,1.19028,1.69613,1.28286,0.35576,0.36769,0.30258,0.17225,1.33869,2.40875,1.40843,0.000891022,0.000891022,0.000891022
8,105.533,1.19176,1.66982,1.28152,0.31083,0.29668,0.24557,0.14304,1.53451,3.25702,1.78945,0.000854359,0.000854359,0.000854359
9,117.698,1.16764,1.60634,1.25685,0.35641,0.26163,0.21569,0.12023,1.26562,3.38592,1.38362,0.000817696,0.000817696,0.000817696
10,130.259,1.18706,1.55961,1.26751,0.36887,0.50718,0.37467,0.22001,1.23148,2.39817,1.3231,0.000781033,0.000781033,0.000781033
11,142.694,1.12176,1.46776,1.23286,0.38256,0.4571,0.37761,0.24582,1.22083,1.98249,1.31583,0.00074437,0.00074437,0.00074437
12,155.21,1.11813,1.42558,1.22311,0.38388,0.43412,0.36091,0.21951,1.35512,2.11786,1.5839,0.000707707,0.000707707,0.000707707
13,167.529,1.08255,1.34991,1.2039,0.54743,0.50327,0.50002,0.33358,1.16559,1.76806,1.29643,0.000671044,0.000671044,0.000671044
14,180.25,1.0613,1.28976,1.20103,0.39701,0.50784,0.38815,0.24765,1.2449,2.1627,1.31491,0.000634381,0.000634381,0.000634381
15,192.756,1.06313,1.24171,1.19997,0.54551,0.53862,0.52463,0.35299,1.18611,1.69582,1.25516,0.000597718,0.000597718,0.000597718
16,205.516,1.05968,1.23945,1.19368,0.60629,0.59799,0.59093,0.40385,1.0738,1.31873,1.18815,0.000561055,0.000561055,0.000561055
17,218.053,1.01682,1.17922,1.17481,0.59489,0.52985,0.50882,0.35214,1.08611,1.57473,1.19328,0.000524392,0.000524392,0.000524392
18,230.249,1.03618,1.15046,1.17194,0.64062,0.49675,0.52046,0.35965,1.05818,1.57214,1.1712,0.000487729,0.000487729,0.000487729
19,242.771,1.01241,1.12128,1.16156,0.67228,0.58276,0.64884,0.4533,1.01816,1.16411,1.1442,0.000451066,0.000451066,0.000451066
20,255.443,0.98468,1.04588,1.15295,0.68584,0.58128,0.64533,0.46309,1.08891,1.1803,1.16796,0.000414403,0.000414403,0.000414403
21,272.786,0.9603,1.03801,1.12317,0.58587,0.59541,0.56176,0.40157,1.06138,1.56737,1.17911,0.00037774,0.00037774,0.00037774
22,284.658,0.93069,1.01971,1.10774,0.66768,0.52088,0.54,0.3698,1.02275,1.54492,1.1624,0.000341077,0.000341077,0.000341077
23,297.115,0.89611,0.93069,1.08456,0.71017,0.63764,0.69081,0.49751,0.97436,1.1333,1.09745,0.000304414,0.000304414,0.000304414
24,309.516,0.8849,0.87225,1.07288,0.71648,0.68039,0.70259,0.50715,0.97355,1.14266,1.11209,0.000267751,0.000267751,0.000267751
25,322.01,0.86709,0.8288,1.05887,0.68558,0.66284,0.69669,0.51205,0.96187,1.09686,1.1017,0.000231088,0.000231088,0.000231088
26,334.047,0.84806,0.783,1.05897,0.74983,0.69131,0.74551,0.54389,0.94208,1.00765,1.08111,0.000194425,0.000194425,0.000194425
27,346.237,0.832,0.73624,1.04984,0.79617,0.66911,0.76094,0.55563,0.93827,0.99593,1.07921,0.000157762,0.000157762,0.000157762
28,358.799,0.80553,0.71722,1.03457,0.81059,0.67696,0.76745,0.55958,0.93793,0.94676,1.0864,0.000121099,0.000121099,0.000121099
29,370.752,0.78451,0.68853,1.03275,0.75872,0.70961,0.76396,0.56773,0.91997,0.93278,1.07852,8.4436e-05,8.4436e-05,8.4436e-05
30,382.798,0.76843,0.67526,1.02512,0.78529,0.6928,0.77468,0.57379,0.91572,0.91836,1.07457,4.7773e-05,4.7773e-05,4.7773e-05
