epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8113,1.16953,2.95762,1.26755,0.28641,0.20017,0.22748,0.16384,0.97418,2.56244,1.08459,0.00034441,0.00034441,0.00034441
2,75.7077,1.21274,2.14472,1.30139,0.34538,0.39033,0.28648,0.19003,1.25199,2.3022,1.32041,0.000676832,0.000676832,0.000676832
3,110.781,1.25238,2.06251,1.31934,0.28665,0.18074,0.07502,0.03121,1.78925,4.41028,2.45834,0.00098579,0.00098579,0.00098579
4,146.563,1.29085,2.01013,1.33524,0.21298,0.29009,0.17976,0.09136,1.54237,2.58079,1.64448,0.00100101,0.00100101,0.00100101
5,180.513,1.268,1.90392,1.32237,0.32018,0.29913,0.27064,0.15981,1.25158,2.05508,1.3506,0.000964348,0.000964348,0.000964348
6,214.869,1.22763,1.78588,1.2963,0.41204,0.42022,0.37165,0.21303,1.27607,1.8457,1.38442,0.000927685,0.000927685,0.000927685
7,250.613,1.23124,1.74546,1.28742,0.55515,0.36223,0.35523,0.21833,1.27615,2.32389,1.31508,0.000891022,0.000891022,0.000891022
8,285.94,1.20826,1.68417,1.28774,0.51602,0.59184,0.55142,0.36921,1.12362,1.38766,1.19466,0.000854359,0.000854359,0.000854359
9,321.949,1.17686,1.5955,1.26044,0.51439,0.50196,0.48287,0.32734,1.07661,1.71759,1.20824,0.000817696,0.000817696,0.000817696
10,358.698,1.15003,1.51517,1.24465,0.4643,0.46027,0.43888,0.28633,1.15073,1.60299,1.22973,0.000781033,0.000781033,0.000781033
11,394.05,1.15935,1.47751,1.24115,0.55616,0.56954,0.57749,0.40201,1.08156,1.42778,1.19259,0.00074437,0.00074437,0.00074437
12,429.91,1.1478,1.46482,1.24485,0.59393,0.60226,0.60076,0.42377,1.03109,1.36723,1.15691,0.000707707,0.000707707,0.000707707
13,465.075,1.1203,1.40467,1.23448,0.5847,0.63088,0.64219,0.45158,1.00301,1.3225,1.1502,0.000671044,0.000671044,0.000671044
14,502.684,1.11544,1.38357,1.23537,0.62739,0.63392,0.68589,0.47409,1.04038,1.22026,1.17015,0.000634381,0.000634381,0.000634381
15,537.548,1.11391,1.31965,1.22396,0.66865,0.55362,0.60327,0.41312,1.00835,1.17415,1.14027,0.000597718,0.000597718,0.000597718
16,574.42,1.08309,1.30804,1.21683,0.67001,0.66117,0.70425,0.48463,1.01198,1.07787,1.15422,0.000561055,0.000561055,0.000561055
17,610.271,1.0785,1.24488,1.19985,0.71282,0.65219,0.73499,0.52887,0.96918,0.97073,1.10724,0.000524392,0.000524392,0.000524392
18,646.662,1.05837,1.19712,1.194,0.73486,0.70528,0.77037,0.55782,0.98118,0.93432,1.11347,0.000487729,0.000487729,0.000487729
19,682.7,1.08035,1.20278,1.1963,0.73215,0.66992,0.74911,0.53539,0.97918,0.97041,1.11499,0.000451066,0.000451066,0.000451066
20,718.705,1.04051,1.14622,1.18183,0.748,0.73033,0.79785,0.58274,0.94693,0.92314,1.09918,0.000414403,0.000414403,0.000414403
21,761.197,1.0036,1.08934,1.14519,0.76019,0.64464,0.73057,0.52571,0.97287,1.03953,1.11512,0.00037774,0.00037774,0.00037774
22,795.429,0.98854,1.01332,1.13412,0.66139,0.63451,0.70567,0.50961,0.94061,1.04228,1.09467,0.000341077,0.000341077,0.000341077
23,829.63,0.95544,0.9458,1.11265,0.77707,0.6722,0.77586,0.56634,0.93371,0.93375,1.09756,0.000304414,0.000304414,0.000304414
24,864.398,0.93263,0.89346,1.11696,0.77786,0.69857,0.78288,0.58803,0.89732,0.87042,1.06144,0.000267751,0.000267751,0.000267751
25,898.842,0.91531,0.85207,1.09691,0.77796,0.74889,0.81379,0.60526,0.92121,0.83772,1.08125,0.000231088,0.000231088,0.000231088
26,933.14,0.90044,0.8097,1.08815,0.82492,0.70423,0.8091,0.60831,0.88935,0.85235,1.06425,0.000194425,0.000194425,0.000194425
27,966.141,0.89013,0.77726,1.07823,0.82005,0.74056,0.82205,0.60936,0.89805,0.79403,1.07527,0.000157762,0.000157762,0.000157762
28,999.9,0.87473,0.74727,1.06062,0.81831,0.7377,0.82577,0.62031,0.89325,0.79472,1.06786,0.000121099,0.000121099,0.000121099
29,1033.86,0.86313,0.71519,1.06345,0.81389,0.76102,0.82841,0.62757,0.88898,0.77761,1.0631,8.4436e-05,8.4436e-05,8.4436e-05
30,1069.74,0.8467,0.70937,1.05458,0.83853,0.74619,0.82952,0.63097,0.88104,0.76742,1.0638,4.7773e-05,4.7773e-05,4.7773e-05
