epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5068,1.07698,3.35548,1.24172,0.00425,0.91905,0.18628,0.12934,0.82148,3.26245,0.98982,0.00016665,0.00016665,0.00016665
2,35.8123,1.03107,2.29461,1.21222,0.55912,0.0855,0.24136,0.16654,0.97266,2.73797,1.0698,0.000333044,0.000333044,0.000333044
3,50.7656,1.0665,1.96636,1.24003,0.44641,0.23818,0.17692,0.11004,1.18353,2.80827,1.3628,0.000487707,0.000487707,0.000487707
4,66.0465,1.08501,1.79835,1.2415,0.57192,0.25278,0.19753,0.12665,1.18155,2.47844,1.25391,0.000630637,0.000630637,0.000630637
5,80.4353,1.08272,1.68477,1.23747,0.26991,0.23465,0.1963,0.1086,1.3058,2.47889,1.34495,0.000761835,0.000761835,0.000761835
6,95.807,1.08711,1.63957,1.22099,0.18991,0.36335,0.16547,0.08972,1.34194,3.83078,1.42854,0.000881301,0.000881301,0.000881301
7,111.149,1.09921,1.58328,1.22401,0.35036,0.35933,0.18806,0.10939,1.32104,3.10319,1.48326,0.000891022,0.000891022,0.000891022
8,126.461,1.06098,1.52378,1.21265,0.44203,0.29553,0.25081,0.15779,1.26753,2.69111,1.38791,0.000854359,0.000854359,0.000854359
9,140.897,1.09214,1.46681,1.21632,0.42134,0.37325,0.34503,0.21259,1.32833,2.09972,1.41829,0.000817696,0.000817696,0.000817696
10,156.251,1.0802,1.38928,1.22342,0.43465,0.48839,0.40946,0.27184,1.18668,1.88615,1.26633,0.000781033,0.000781033,0.000781033
11,170.749,0.99214,1.3105,1.16094,0.53977,0.56683,0.53733,0.35525,1.14848,1.47758,1.27268,0.00074437,0.00074437,0.00074437
12,185.913,1.03486,1.24898,1.18461,0.56945,0.54371,0.54631,0.34589,1.14876,1.46259,1.2533,0.000707707,0.000707707,0.000707707
13,201.072,1.0016,1.22169,1.15528,0.55012,0.55981,0.49776,0.32085,1.10708,1.58336,1.21087,0.000671044,0.000671044,0.000671044
14,215.31,1.00379,1.19539,1.15314,0.56224,0.5497,0.56578,0.38638,1.08313,1.41785,1.22411,0.000634381,0.000634381,0.000634381
15,230.644,1.02263,1.18592,1.17049,0.6018,0.58508,0.6069,0.43026,1.10302,1.44763,1.19914,0.000597718,0.000597718,0.000597718
16,245.65,0.9763,1.10214,1.14369,0.66239,0.64321,0.64607,0.44871,1.08777,1.28865,1.19666,0.000561055,0.000561055,0.000561055
17,260.996,0.96709,1.04446,1.14505,0.74371,0.61815,0.68538,0.50598,1.02063,1.13693,1.16009,0.000524392,0.000524392,0.000524392
18,275.942,0.96511,1.02867,1.1289,0.64655,0.59128,0.61252,0.42119,1.03505,1.28875,1.14218,0.000487729,0.000487729,0.000487729
19,291.04,0.93213,0.98992,1.12518,0.59704,0.58249,0.60504,0.44478,0.99469,1.32708,1.12237,0.000451066,0.000451066,0.000451066
20,305.733,0.91832,0.95311,1.11443,0.70991,0.63117,0.69225,0.48839,0.97861,1.07841,1.13158,0.000414403,0.000414403,0.000414403
21,326.463,0.82177,0.89699,1.04719,0.61866,0.66293,0.65177,0.46812,1.0355,1.19012,1.13951,0.00037774,0.00037774,0.00037774
22,340.929,0.82187,0.8331,1.03101,0.74673,0.57438,0.65879,0.47092,0.98441,1.20439,1.12117,0.000341077,0.000341077,0.000341077
23,356.288,0.8223,0.80897,1.04079,0.7332,0.63499,0.69241,0.49905,0.98373,1.06921,1.11426,0.000304414,0.000304414,0.000304414
24,370.755,0.79638,0.75176,1.02974,0.72336,0.60609,0.65509,0.47195,1.01037,1.14298,1.13225,0.000267751,0.000267751,0.000267751
25,385.326,0.763,0.70423,1.00967,0.76244,0.63958,0.71271,0.53226,0.93755,1.06798,1.10011,0.000231088,0.000231088,0.000231088
26,400.445,0.74157,0.65245,1.00466,0.74606,0.63361,0.69139,0.5145,0.93654,1.09314,1.10142,0.000194425,0.000194425,0.000194425
27,414.715,0.73995,0.64065,1.00905,0.79688,0.66057,0.72943,0.54664,0.91831,0.9486,1.08554,0.000157762,0.000157762,0.000157762
28,429.546,0.71506,0.60808,0.97933,0.81291,0.63959,0.73977,0.56111,0.9068,0.95203,1.07125,0.000121099,0.000121099,0.000121099
29,444.758,0.70479,0.5851,0.97941,0.81555,0.6693,0.75398,0.57513,0.90648,0.92392,1.07823,8.4436e-05,8.4436e-05,8.4436e-05
30,459.87,0.67783,0.55401,0.97216,0.7985,0.67849,0.74895,0.57346,0.90448,0.91679,1.06988,4.7773e-05,4.7773e-05,4.7773e-05
