epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.965,1.15614,3.16553,1.26304,0.09285,0.85631,0.20821,0.14678,0.92696,2.89227,1.02933,0.00025553,0.00025553,0.00025553
2,59.8892,1.1508,2.20294,1.26637,0.24676,0.42062,0.23103,0.1522,1.10961,2.37335,1.19456,0.000504938,0.000504938,0.000504938
3,85.9221,1.1814,2.02102,1.28625,0.24785,0.3646,0.22294,0.13228,1.21846,2.34252,1.32317,0.000736749,0.000736749,0.000736749
4,114.139,1.22376,1.94999,1.30063,0.2275,0.44575,0.19195,0.10622,1.3419,2.4908,1.41276,0.00095096,0.00095096,0.00095096
5,141.065,1.2451,1.90124,1.29925,0.22687,0.49376,0.24099,0.14666,1.27594,2.26735,1.40644,0.000964348,0.000964348,0.000964348
6,167.081,1.23623,1.87142,1.29328,0.23541,0.29844,0.20828,0.10948,1.46845,2.37633,1.54073,0.000927685,0.000927685,0.000927685
7,194.232,1.20984,1.80557,1.29952,0.30592,0.27182,0.22602,0.12336,1.51221,2.60323,1.84504,0.000891022,0.000891022,0.000891022
8,221.288,1.22859,1.72513,1.28913,0.4083,0.51014,0.33223,0.21198,1.18059,2.3888,1.35523,0.000854359,0.000854359,0.000854359
9,248.412,1.1842,1.61289,1.25992,0.31032,0.44931,0.32277,0.19378,1.18976,2.7554,1.29162,0.000817696,0.000817696,0.000817696
10,274.982,1.15503,1.59109,1.25941,0.47423,0.49664,0.4372,0.27239,1.33045,1.90846,1.36892,0.000781033,0.000781033,0.000781033
11,301.413,1.11411,1.4997,1.22393,0.5613,0.45442,0.51335,0.33914,1.11728,1.71493,1.26161,0.00074437,0.00074437,0.00074437
12,326.341,1.12073,1.4508,1.22832,0.65975,0.41366,0.50121,0.32557,1.08264,1.52282,1.203,0.000707707,0.000707707,0.000707707
13,353.367,1.10089,1.41557,1.21265,0.56709,0.58071,0.56925,0.38666,1.13492,1.34133,1.21116,0.000671044,0.000671044,0.000671044
14,380.132,1.09202,1.37015,1.20913,0.65273,0.56102,0.6261,0.41711,1.07702,1.2595,1.19622,0.000634381,0.000634381,0.000634381
15,406.044,1.07352,1.33735,1.20537,0.62469,0.57482,0.58058,0.39913,1.0241,1.24061,1.16482,0.000597718,0.000597718,0.000597718
16,431.745,1.09604,1.28344,1.20378,0.75974,0.61866,0.68178,0.48897,0.994,1.1024,1.13265,0.000561055,0.000561055,0.000561055
17,458.46,1.05421,1.23107,1.18676,0.62594,0.62067,0.64291,0.44316,1.01895,1.1795,1.13059,0.000524392,0.000524392,0.000524392
18,483.947,1.04022,1.21332,1.18187,0.67876,0.65642,0.71554,0.51465,0.96318,1.01116,1.10586,0.000487729,0.000487729,0.000487729
19,510.727,0.99951,1.14771,1.16985,0.67431,0.68474,0.72472,0.52995,0.99035,1.06126,1.12791,0.000451066,0.000451066,0.000451066
20,538.217,1.01306,1.10952,1.16689,0.7453,0.68012,0.71674,0.51558,0.98082,1.04787,1.12295,0.000414403,0.000414403,0.000414403
21,572.601,0.95895,1.076,1.11805,0.67951,0.67141,0.6581,0.48441,0.97702,1.12693,1.12207,0.00037774,0.00037774,0.00037774
22,598.726,0.93392,0.99119,1.10694,0.7343,0.69392,0.75731,0.55708,0.94533,0.98686,1.10333,0.000341077,0.000341077,0.000341077
23,624.404,0.91722,0.93158,1.10586,0.67758,0.67324,0.72006,0.52612,0.95313,1.07579,1.09082,0.000304414,0.000304414,0.000304414
24,650.087,0.92101,0.88218,1.10384,0.7717,0.63711,0.72144,0.53132,0.94323,1.00528,1.10195,0.000267751,0.000267751,0.000267751
25,675.766,0.89357,0.8454,1.07649,0.7652,0.69513,0.76088,0.56129,0.9261,0.90467,1.08423,0.000231088,0.000231088,0.000231088
26,701.178,0.86758,0.79192,1.06386,0.80049,0.69114,0.77587,0.57251,0.92357,0.8938,1.0873,0.000194425,0.000194425,0.000194425
27,726.977,0.8574,0.76127,1.0586,0.78631,0.69932,0.76298,0.56468,0.91249,0.9269,1.07459,0.000157762,0.000157762,0.000157762
28,751.548,0.82263,0.72689,1.04386,0.77793,0.71698,0.77984,0.58193,0.90854,0.86304,1.07881,0.000121099,0.000121099,0.000121099
29,777.405,0.83095,0.70295,1.04539,0.76235,0.74343,0.79549,0.59777,0.90062,0.83451,1.06955,8.4436e-05,8.4436e-05,8.4436e-05
30,802.346,0.82338,0.68803,1.03553,0.79974,0.7085,0.79142,0.59673,0.89188,0.84082,1.06753,4.7773e-05,4.7773e-05,4.7773e-05
