epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2351,1.04519,3.43716,1.2342,0.004,0.90533,0.18016,0.11959,0.83562,3.34413,1.00795,0.00012221,0.00012221,0.00012221
2,28.978,1.02213,2.67241,1.20402,0.484,0.09257,0.21294,0.15365,0.9287,2.85819,1.04769,0.000247098,0.000247098,0.000247098
3,42.764,1.06768,2.12134,1.2251,0.52845,0.12337,0.21095,0.15018,1.01649,2.72019,1.12849,0.000363186,0.000363186,0.000363186
4,57.34,1.05037,1.92822,1.21547,0.28945,0.21422,0.16736,0.09294,1.34466,2.80718,1.46777,0.000470475,0.000470475,0.000470475
5,71.1878,1.04576,1.80769,1.2066,0.25144,0.28877,0.17697,0.10438,1.21678,2.92857,1.31985,0.000568965,0.000568965,0.000568965
6,83.9971,1.05163,1.68645,1.2029,0.33627,0.36843,0.29134,0.18779,1.18331,2.34101,1.29304,0.000658656,0.000658656,0.000658656
7,97.7098,1.08455,1.65846,1.2043,0.25376,0.29698,0.19995,0.10316,1.395,2.60092,1.67433,0.000739548,0.000739548,0.000739548
8,110.598,1.08721,1.62437,1.21426,0.3202,0.36059,0.27543,0.15133,1.30118,2.31212,1.45948,0.000811641,0.000811641,0.000811641
9,124.187,1.07443,1.56987,1.20671,0.46661,0.25756,0.1398,0.07561,1.41515,4.20645,1.62167,0.000817696,0.000817696,0.000817696
10,137.209,1.05546,1.5211,1.19957,0.28138,0.36792,0.24432,0.13053,1.47,2.90876,1.82456,0.000781033,0.000781033,0.000781033
11,149.957,1.05864,1.48206,1.20435,0.3205,0.39122,0.30402,0.17863,1.26457,2.04015,1.33795,0.00074437,0.00074437,0.00074437
12,163.072,1.04717,1.41058,1.1866,0.49462,0.46476,0.355,0.22423,1.18299,1.97383,1.29727,0.000707707,0.000707707,0.000707707
13,175.696,1.01878,1.34123,1.18492,0.57292,0.44942,0.47903,0.31046,1.13063,1.51889,1.25823,0.000671044,0.000671044,0.000671044
14,189.035,1.00483,1.28501,1.14857,0.48205,0.44748,0.43443,0.29356,1.12865,1.86075,1.24796,0.000634381,0.000634381,0.000634381
15,201.516,0.97778,1.17849,1.14526,0.59334,0.54331,0.5614,0.38221,1.10227,1.4512,1.20076,0.000597718,0.000597718,0.000597718
16,214.452,0.96458,1.15577,1.13627,0.6749,0.55426,0.59321,0.39624,1.10112,1.35698,1.20701,0.000561055,0.000561055,0.000561055
17,227.419,0.95024,1.12133,1.13316,0.62937,0.5329,0.54386,0.35798,1.07718,1.58384,1.1728,0.000524392,0.000524392,0.000524392
18,240.309,0.94688,1.0858,1.12281,0.62645,0.60134,0.57531,0.39049,1.05565,1.37536,1.1528,0.000487729,0.000487729,0.000487729
19,253.204,0.92262,1.05584,1.11754,0.63881,0.65472,0.65681,0.45305,1.04644,1.24122,1.13927,0.000451066,0.000451066,0.000451066
20,266.761,0.93154,1.02434,1.10917,0.66857,0.59746,0.62364,0.44138,1.00018,1.32427,1.11793,0.000414403,0.000414403,0.000414403
21,286.105,0.84239,1.04377,1.05431,0.80146,0.54216,0.60293,0.44076,0.99291,1.29367,1.11237,0.00037774,0.00037774,0.00037774
22,297.771,0.81047,0.92631,1.03765,0.68099,0.57977,0.6213,0.44624,1.03064,1.26,1.136,0.000341077,0.000341077,0.000341077
23,310.817,0.80279,0.87309,1.01942,0.64863,0.60347,0.61105,0.44231,0.99135,1.31618,1.13292,0.000304414,0.000304414,0.000304414
24,324.115,0.79989,0.84034,1.02297,0.77944,0.5684,0.62521,0.454,1.01357,1.20807,1.1389,0.000267751,0.000267751,0.000267751
25,337.232,0.7758,0.81442,1.00412,0.67554,0.57259,0.62131,0.43673,0.9767,1.23468,1.1139,0.000231088,0.000231088,0.000231088
26,349.812,0.75128,0.76048,0.9921,0.72057,0.64865,0.68254,0.50044,0.95504,1.12178,1.09161,0.000194425,0.000194425,0.000194425
27,363.198,0.74562,0.71884,0.99051,0.78041,0.64247,0.71413,0.52338,0.95429,1.07457,1.08755,0.000157762,0.000157762,0.000157762
28,375.724,0.7254,0.69942,0.97691,0.78348,0.64924,0.71766,0.52803,0.93793,1.0573,1.08404,0.000121099,0.000121099,0.000121099
29,388.64,0.70959,0.65761,0.97656,0.77044,0.67902,0.71765,0.52949,0.9304,1.05193,1.07998,8.4436e-05,8.4436e-05,8.4436e-05
30,402.257,0.68877,0.65455,0.95792,0.76012,0.68749,0.7283,0.53925,0.91802,1.00776,1.07128,4.7773e-05,4.7773e-05,4.7773e-05
