epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6152,1.09731,2.82562,1.24839,0.48127,0.10037,0.23381,0.17201,0.95666,2.74361,1.08306,0.00034441,0.00034441,0.00034441
2,46.3931,1.1555,2.03498,1.2835,0.19921,0.25506,0.15739,0.09117,1.34584,2.48866,1.47573,0.000676832,0.000676832,0.000676832
3,67.874,1.22248,1.98491,1.32049,0.10001,0.23732,0.08385,0.03748,1.62374,3.18679,1.89805,0.00098579,0.00098579,0.00098579
4,89.845,1.22784,1.91799,1.3254,0.06865,0.1096,0.03401,0.01387,1.96877,3.38163,2.08087,0.00100101,0.00100101,0.00100101
5,110.987,1.25192,1.83439,1.33341,0.45199,0.23208,0.22841,0.12165,1.49407,2.27563,1.58659,0.000964348,0.000964348,0.000964348
6,132.197,1.19246,1.75889,1.29978,0.38636,0.3174,0.29997,0.19405,1.19594,1.90079,1.35566,0.000927685,0.000927685,0.000927685
7,153.449,1.16421,1.64202,1.27734,0.54159,0.4842,0.50367,0.31406,1.20885,1.56686,1.31694,0.000891022,0.000891022,0.000891022
8,175.405,1.16409,1.59741,1.27039,0.56284,0.46061,0.48195,0.30382,1.20525,1.69879,1.33973,0.000854359,0.000854359,0.000854359
9,197.111,1.132,1.52553,1.26084,0.56601,0.53113,0.49477,0.33305,1.08046,1.68792,1.20684,0.000817696,0.000817696,0.000817696
10,219.181,1.12252,1.46838,1.25164,0.65233,0.50852,0.56496,0.37264,1.11938,1.4604,1.2181,0.000781033,0.000781033,0.000781033
11,239.825,1.12875,1.45282,1.24066,0.50594,0.57373,0.51279,0.34763,1.08169,1.54872,1.20683,0.00074437,0.00074437,0.00074437
12,261.557,1.09996,1.37137,1.22329,0.64013,0.57617,0.61719,0.43174,1.05472,1.26999,1.164,0.000707707,0.000707707,0.000707707
13,282.895,1.07218,1.34223,1.21164,0.60274,0.5808,0.60323,0.42098,1.05242,1.26171,1.19245,0.000671044,0.000671044,0.000671044
14,304.164,1.06714,1.31416,1.21843,0.70486,0.57059,0.6372,0.4444,1.02481,1.26989,1.15974,0.000634381,0.000634381,0.000634381
15,325.481,1.06287,1.2687,1.20267,0.63016,0.54353,0.58334,0.40133,0.98923,1.38711,1.1394,0.000597718,0.000597718,0.000597718
16,346.326,1.03019,1.2165,1.18916,0.68591,0.63482,0.68711,0.48741,1.0212,1.14094,1.13934,0.000561055,0.000561055,0.000561055
17,368.014,1.01621,1.19744,1.17887,0.75526,0.62794,0.71822,0.50986,0.98714,1.11097,1.14214,0.000524392,0.000524392,0.000524392
18,388.98,0.99942,1.1565,1.17931,0.66493,0.58729,0.62423,0.45546,0.96567,1.1961,1.1174,0.000487729,0.000487729,0.000487729
19,410.38,1.00756,1.1263,1.17388,0.70282,0.59421,0.66355,0.47068,0.96298,1.09799,1.11034,0.000451066,0.000451066,0.000451066
20,431.609,0.98787,1.09909,1.1746,0.74399,0.70222,0.7527,0.55367,0.9153,0.94997,1.07759,0.000414403,0.000414403,0.000414403
21,456.618,0.96847,1.02327,1.13707,0.68072,0.70253,0.73082,0.5481,0.9122,1.00508,1.06932,0.00037774,0.00037774,0.00037774
22,477.477,0.94958,0.95377,1.13016,0.66732,0.66468,0.70931,0.51312,0.93457,1.02978,1.09547,0.000341077,0.000341077,0.000341077
23,497.747,0.94333,0.91818,1.13578,0.77463,0.73536,0.79174,0.58354,0.90798,0.91992,1.0687,0.000304414,0.000304414,0.000304414
24,518.905,0.91581,0.87084,1.1087,0.78521,0.61572,0.73756,0.53852,0.90748,1.08233,1.08252,0.000267751,0.000267751,0.000267751
25,539.759,0.88785,0.8425,1.09017,0.7684,0.71171,0.78632,0.58137,0.91188,0.89519,1.07467,0.000231088,0.000231088,0.000231088
26,560.529,0.87799,0.79339,1.0835,0.79129,0.75233,0.80925,0.60797,0.89005,0.87198,1.06238,0.000194425,0.000194425,0.000194425
27,581.137,0.86193,0.75348,1.07273,0.8086,0.71589,0.80941,0.60999,0.88823,0.84008,1.05645,0.000157762,0.000157762,0.000157762
28,601.795,0.84309,0.73899,1.06728,0.77777,0.74216,0.81011,0.62027,0.87723,0.83611,1.05157,0.000121099,0.000121099,0.000121099
29,622.246,0.82953,0.71281,1.05725,0.80079,0.75531,0.82164,0.62572,0.87207,0.81418,1.04937,8.4436e-05,8.4436e-05,8.4436e-05
30,643.567,0.82044,0.68788,1.05388,0.78228,0.77064,0.82937,0.63172,0.86469,0.79544,1.04601,4.7773e-05,4.7773e-05,4.7773e-05
