epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8515,1.0452,3.42751,1.23982,0.00411,0.90569,0.16186,0.11035,0.82567,3.34715,1.00276,0.00012221,0.00012221,0.00012221
2,30.5599,0.99428,2.65394,1.18111,0.59006,0.09391,0.18907,0.13573,0.93613,2.87307,1.04422,0.000247098,0.000247098,0.000247098
3,43.1617,1.04365,2.08041,1.21097,0.56269,0.17959,0.26927,0.19017,1.03988,2.61691,1.14409,0.000363186,0.000363186,0.000363186
4,56.7516,1.03688,1.84165,1.18179,0.44447,0.25332,0.28263,0.17821,1.21907,2.74187,1.38706,0.000470475,0.000470475,0.000470475
5,70.0984,1.04827,1.74106,1.19053,0.46596,0.34255,0.32841,0.20649,1.1851,2.51086,1.33866,0.000568965,0.000568965,0.000568965
6,82.8075,1.02841,1.6474,1.17607,0.39809,0.25112,0.26771,0.17032,1.17857,2.39909,1.26268,0.000658656,0.000658656,0.000658656
7,96.3618,1.03454,1.56619,1.18691,0.40581,0.19195,0.1486,0.08822,1.41219,2.68703,1.58966,0.000739548,0.000739548,0.000739548
8,109.796,1.0833,1.56245,1.19852,0.48242,0.22925,0.13051,0.07224,1.44678,2.99328,1.60851,0.000811641,0.000811641,0.000811641
9,123.019,1.08584,1.5324,1.21874,0.40665,0.29054,0.20257,0.11574,1.37497,2.90233,1.56286,0.000817696,0.000817696,0.000817696
10,136.035,1.0905,1.51681,1.2064,0.29197,0.28808,0.21263,0.11556,1.50425,3.07126,1.73509,0.000781033,0.000781033,0.000781033
11,149.15,1.05548,1.44176,1.18587,0.54442,0.37166,0.30412,0.18993,1.24059,2.23062,1.34082,0.00074437,0.00074437,0.00074437
12,162.252,1.00725,1.34438,1.16089,0.50596,0.40131,0.41528,0.25003,1.34331,2.33522,1.53792,0.000707707,0.000707707,0.000707707
13,175.848,0.97495,1.28818,1.14968,0.58414,0.43447,0.46464,0.31544,1.15684,1.63956,1.26943,0.000671044,0.000671044,0.000671044
14,189.585,1.01738,1.22508,1.15591,0.50768,0.50562,0.47222,0.30219,1.17242,1.88016,1.27155,0.000634381,0.000634381,0.000634381
15,202.088,0.97741,1.22111,1.14739,0.6153,0.53003,0.52744,0.35089,1.09454,1.49909,1.20874,0.000597718,0.000597718,0.000597718
16,215.535,0.93854,1.10783,1.11207,0.54679,0.59793,0.57234,0.37905,1.13821,1.45372,1.23898,0.000561055,0.000561055,0.000561055
17,229.236,0.94071,1.09676,1.13295,0.62566,0.58605,0.6084,0.41755,1.08675,1.37749,1.17782,0.000524392,0.000524392,0.000524392
18,242.508,0.95391,1.05067,1.12671,0.64011,0.50312,0.53226,0.37395,1.07338,1.61423,1.15193,0.000487729,0.000487729,0.000487729
19,255.177,0.92945,1.03631,1.11192,0.75978,0.55311,0.60903,0.43717,1.01338,1.28404,1.12809,0.000451066,0.000451066,0.000451066
20,268.582,0.89946,0.9952,1.09121,0.63523,0.5414,0.58318,0.41485,1.03396,1.37432,1.13483,0.000414403,0.000414403,0.000414403
21,287.245,0.83956,1.02841,1.06079,0.68968,0.50424,0.53412,0.38824,1.00821,1.51245,1.14272,0.00037774,0.00037774,0.00037774
22,300.041,0.79895,0.90939,1.02737,0.66579,0.60025,0.62883,0.44262,1.0634,1.3173,1.16192,0.000341077,0.000341077,0.000341077
23,312.037,0.77501,0.84609,1.01188,0.70895,0.60595,0.66023,0.44891,1.09581,1.23619,1.17114,0.000304414,0.000304414,0.000304414
24,324.959,0.76341,0.78039,0.99669,0.7425,0.59973,0.67079,0.49079,1.001,1.15032,1.11327,0.000267751,0.000267751,0.000267751
25,338.52,0.74755,0.74872,0.98359,0.71828,0.59848,0.64788,0.47441,0.97104,1.20516,1.10338,0.000231088,0.000231088,0.000231088
26,351.353,0.72722,0.71845,0.98351,0.76486,0.60759,0.67961,0.50252,0.97075,1.10748,1.11123,0.000194425,0.000194425,0.000194425
27,364.461,0.70707,0.6819,0.97815,0.67101,0.664,0.68727,0.50054,0.99013,1.04529,1.1134,0.000157762,0.000157762,0.000157762
28,377.58,0.69241,0.65596,0.97048,0.78928,0.61582,0.70864,0.52786,0.95764,1.01875,1.09599,0.000121099,0.000121099,0.000121099
29,391.084,0.68462,0.62515,0.97877,0.74682,0.63244,0.70993,0.52908,0.94517,1.01383,1.08494,8.4436e-05,8.4436e-05,8.4436e-05
30,403.795,0.66397,0.60364,0.9513,0.79434,0.62591,0.7138,0.53169,0.92869,1.00168,1.07771,4.7773e-05,4.7773e-05,4.7773e-05
