epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4599,1.06604,3.35601,1.24122,0.00441,0.89728,0.17435,0.12364,0.83284,3.35728,1.00403,0.00012221,0.00012221,0.00012221
2,24.4909,1.0093,2.53054,1.21549,0.00404,0.88582,0.19611,0.14379,0.90726,3.0774,1.0644,0.000247098,0.000247098,0.000247098
3,36.0219,1.05763,2.07522,1.22743,0.40524,0.15675,0.24687,0.18549,1.00854,2.77906,1.11628,0.000363186,0.000363186,0.000363186
4,47.1542,1.07171,1.84824,1.21798,0.34673,0.34964,0.29172,0.20376,1.0316,2.52833,1.15878,0.000470475,0.000470475,0.000470475
5,58.5006,1.08263,1.73629,1.2261,0.45814,0.22768,0.24971,0.15582,1.20287,2.45728,1.27767,0.000568965,0.000568965,0.000568965
6,69.533,1.07109,1.65045,1.22527,0.43903,0.26871,0.27857,0.16415,1.37859,2.6193,1.50662,0.000658656,0.000658656,0.000658656
7,80.5729,1.07817,1.65368,1.20571,0.43661,0.25789,0.21796,0.13045,1.28967,2.4427,1.3816,0.000739548,0.000739548,0.000739548
8,91.7358,1.14971,1.62791,1.24514,0.36295,0.28712,0.19145,0.10797,1.34927,2.56753,1.45178,0.000811641,0.000811641,0.000811641
9,103.097,1.06828,1.58838,1.20286,0.13491,0.2624,0.1111,0.05504,1.62663,3.51464,1.93247,0.000817696,0.000817696,0.000817696
10,113.999,1.12018,1.56408,1.24025,0.4603,0.24744,0.2554,0.14937,1.32447,2.40435,1.44272,0.000781033,0.000781033,0.000781033
11,125.464,1.1013,1.52404,1.22566,0.47549,0.43575,0.39547,0.2091,1.34144,1.99311,1.39655,0.00074437,0.00074437,0.00074437
12,136.367,1.06968,1.42592,1.20253,0.44564,0.37965,0.35632,0.21608,1.1799,2.08983,1.28134,0.000707707,0.000707707,0.000707707
13,148.046,1.02961,1.36095,1.17332,0.4576,0.38179,0.30845,0.19703,1.14811,1.98668,1.25281,0.000671044,0.000671044,0.000671044
14,158.784,1.03064,1.30003,1.17577,0.46175,0.48583,0.44916,0.29346,1.15743,1.69449,1.2436,0.000634381,0.000634381,0.000634381
15,170.286,0.99279,1.24939,1.16407,0.44538,0.49971,0.41034,0.25862,1.13341,1.87806,1.22835,0.000597718,0.000597718,0.000597718
16,181.024,0.96572,1.2031,1.15171,0.61431,0.52417,0.54226,0.35419,1.12745,1.49348,1.23074,0.000561055,0.000561055,0.000561055
17,193.123,0.95137,1.15302,1.14276,0.66231,0.51883,0.58514,0.40081,1.04555,1.34543,1.17272,0.000524392,0.000524392,0.000524392
18,204.287,0.94019,1.11445,1.12669,0.58542,0.54741,0.54543,0.37238,1.07702,1.44102,1.19897,0.000487729,0.000487729,0.000487729
19,215.548,0.92795,1.06028,1.1251,0.59844,0.53611,0.57053,0.39502,1.04214,1.33673,1.16775,0.000451066,0.000451066,0.000451066
20,226.451,0.95364,1.062,1.13906,0.61025,0.50578,0.53261,0.36531,1.05986,1.46927,1.16845,0.000414403,0.000414403,0.000414403
21,242.086,0.89976,1.08249,1.11228,0.623,0.55387,0.57464,0.41021,0.99658,1.35453,1.1259,0.00037774,0.00037774,0.00037774
22,252.867,0.84358,1.02477,1.07244,0.6617,0.60058,0.6253,0.44208,1.01007,1.2877,1.12784,0.000341077,0.000341077,0.000341077
23,263.168,0.84801,0.95892,1.07594,0.67189,0.58519,0.64276,0.46319,1.01341,1.24298,1.13539,0.000304414,0.000304414,0.000304414
24,273.621,0.81702,0.88937,1.05165,0.74116,0.58333,0.65388,0.47677,0.98793,1.24844,1.12337,0.000267751,0.000267751,0.000267751
25,285.378,0.79268,0.84272,1.03237,0.70989,0.61859,0.67521,0.49723,0.98406,1.16711,1.12135,0.000231088,0.000231088,0.000231088
26,296.463,0.76583,0.79009,1.02517,0.74468,0.65679,0.72238,0.52363,0.97411,1.09313,1.11851,0.000194425,0.000194425,0.000194425
27,307.506,0.76088,0.7454,1.01566,0.73832,0.6543,0.72226,0.52133,0.96004,1.05799,1.10897,0.000157762,0.000157762,0.000157762
28,318.853,0.7461,0.71499,1.01562,0.77654,0.67426,0.74378,0.53917,0.95871,1.02831,1.10408,0.000121099,0.000121099,0.000121099
29,329.88,0.72462,0.67547,1.00713,0.74962,0.67994,0.73922,0.54253,0.93335,1.01886,1.09193,8.4436e-05,8.4436e-05,8.4436e-05
30,341.038,0.71385,0.66068,0.99528,0.79568,0.66507,0.75547,0.55567,0.93296,0.99181,1.09144,4.7773e-05,4.7773e-05,4.7773e-05
