epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.954,1.09997,3.37023,1.23637,0.00363,0.84324,0.14858,0.10427,0.83806,3.4224,1.03121,0.00012221,0.00012221,0.00012221
2,29.1968,1.05442,2.50199,1.22099,0.00404,0.8752,0.2023,0.14628,0.91662,3.08966,1.08601,0.000247098,0.000247098,0.000247098
3,41.928,1.02823,1.92853,1.19721,0.63324,0.05256,0.2318,0.1735,1.00555,3.01398,1.18298,0.000363186,0.000363186,0.000363186
4,54.7027,1.02011,1.75618,1.18501,0.43323,0.17046,0.27178,0.18212,1.1191,2.75806,1.26706,0.000470475,0.000470475,0.000470475
5,67.7674,1.07429,1.62835,1.19495,0.46715,0.28503,0.37067,0.25646,1.05901,2.36128,1.18946,0.000568965,0.000568965,0.000568965
6,80.5233,1.03747,1.55843,1.17732,0.63189,0.34535,0.40645,0.28243,1.13035,2.16551,1.24783,0.000658656,0.000658656,0.000658656
7,93.4058,1.03219,1.46428,1.18382,0.56495,0.21757,0.18991,0.1107,1.30599,2.56836,1.41431,0.000739548,0.000739548,0.000739548
8,106.531,1.07366,1.48921,1.18962,0.54555,0.25226,0.18589,0.10537,1.42271,2.5902,1.59584,0.000811641,0.000811641,0.000811641
9,119.862,1.06834,1.46553,1.18622,0.5266,0.29507,0.20786,0.1354,1.24369,2.58794,1.39658,0.000817696,0.000817696,0.000817696
10,132.703,1.06141,1.39385,1.17509,0.51571,0.32297,0.24588,0.15355,1.3253,2.60064,1.50554,0.000781033,0.000781033,0.000781033
11,145.443,1.05603,1.40101,1.19022,0.30875,0.4074,0.27188,0.15909,1.37212,2.65262,1.56441,0.00074437,0.00074437,0.00074437
12,158.342,1.02661,1.31049,1.16911,0.4569,0.3671,0.32831,0.18288,1.44386,2.02579,1.51063,0.000707707,0.000707707,0.000707707
13,171.08,1.03954,1.27395,1.17356,0.62501,0.45011,0.4781,0.3045,1.16857,1.70998,1.28457,0.000671044,0.000671044,0.000671044
14,184.183,1.01398,1.21259,1.15594,0.62952,0.51772,0.54087,0.37056,1.11913,1.56075,1.23286,0.000634381,0.000634381,0.000634381
15,197.032,0.99781,1.13988,1.1437,0.68735,0.44914,0.48126,0.31008,1.18019,1.70687,1.33732,0.000597718,0.000597718,0.000597718
16,210.316,0.94935,1.06353,1.12,0.60407,0.56127,0.56486,0.39101,1.14275,1.60055,1.24355,0.000561055,0.000561055,0.000561055
17,223.444,0.97549,1.05976,1.13307,0.61557,0.58463,0.58988,0.41399,1.13267,1.41242,1.2279,0.000524392,0.000524392,0.000524392
18,236.497,0.94522,1.00859,1.11202,0.67965,0.45309,0.5192,0.35443,1.13482,1.57922,1.20975,0.000487729,0.000487729,0.000487729
19,249.68,0.93036,0.9646,1.10422,0.71648,0.50157,0.55985,0.38476,1.0919,1.35994,1.18025,0.000451066,0.000451066,0.000451066
20,262.819,0.91886,0.9384,1.10729,0.69807,0.59064,0.63177,0.45806,1.00152,1.26921,1.13307,0.000414403,0.000414403,0.000414403
21,280.635,0.84854,1.00011,1.05885,0.64131,0.53394,0.58776,0.41873,1.03415,1.36263,1.16428,0.00037774,0.00037774,0.00037774
22,292.533,0.80972,0.85631,1.03824,0.74053,0.54121,0.62579,0.44499,1.0314,1.33695,1.15572,0.000341077,0.000341077,0.000341077
23,305.879,0.79079,0.80522,1.02236,0.71341,0.60127,0.66302,0.47599,0.99505,1.18376,1.1416,0.000304414,0.000304414,0.000304414
24,319.068,0.78325,0.7818,1.01781,0.72328,0.6243,0.6647,0.48341,0.9905,1.13801,1.12653,0.000267751,0.000267751,0.000267751
25,332.292,0.73266,0.72221,0.9909,0.74523,0.62821,0.6887,0.51202,0.9633,1.05828,1.13056,0.000231088,0.000231088,0.000231088
26,345.521,0.72834,0.69656,0.98777,0.7443,0.62712,0.68761,0.50441,0.97605,1.03481,1.12808,0.000194425,0.000194425,0.000194425
27,358.684,0.7059,0.63878,0.98089,0.76033,0.62407,0.71461,0.52546,0.97007,1.01252,1.11643,0.000157762,0.000157762,0.000157762
28,371.593,0.69576,0.6052,0.96777,0.73041,0.66306,0.71654,0.53005,0.96048,0.98683,1.10944,0.000121099,0.000121099,0.000121099
29,384.681,0.68182,0.58502,0.97499,0.80398,0.63972,0.72373,0.54455,0.94594,0.95357,1.104,8.4436e-05,8.4436e-05,8.4436e-05
30,397.464,0.67213,0.59066,0.95159,0.77123,0.6763,0.74059,0.55594,0.93157,0.93643,1.10138,4.7773e-05,4.7773e-05,4.7773e-05
