epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.1042,1.16597,3.03995,1.26436,0.00426,0.94119,0.22529,0.15565,0.90868,2.91864,1.03067,0.00025553,0.00025553,0.00025553
2,47.971,1.18017,2.10926,1.2506,0.37899,0.36276,0.30186,0.21744,1.05723,2.4051,1.16736,0.000504938,0.000504938,0.000504938
3,70.045,1.16767,1.94541,1.24141,0.31031,0.39302,0.27599,0.16903,1.23938,2.16682,1.31405,0.000736749,0.000736749,0.000736749
4,92.6193,1.21285,1.90899,1.26763,0.342,0.29722,0.25415,0.1468,1.42318,2.22848,1.52338,0.00095096,0.00095096,0.00095096
5,116.849,1.22696,1.84578,1.26641,0.22974,0.2213,0.12079,0.06802,1.4799,3.13268,1.58143,0.000964348,0.000964348,0.000964348
6,141.272,1.19588,1.77196,1.25755,0.31645,0.43718,0.29296,0.16919,1.27334,2.76526,1.3821,0.000927685,0.000927685,0.000927685
7,164.931,1.17795,1.6938,1.25066,0.22629,0.2584,0.17913,0.11207,1.51008,3.55812,1.78573,0.000891022,0.000891022,0.000891022
8,186.744,1.18023,1.6562,1.24492,0.61269,0.35796,0.35676,0.22155,1.22773,1.84004,1.35576,0.000854359,0.000854359,0.000854359
9,211.809,1.13437,1.55097,1.21785,0.56325,0.39165,0.37905,0.23378,1.18761,1.98431,1.26715,0.000817696,0.000817696,0.000817696
10,235.671,1.11762,1.48061,1.21541,0.60805,0.58097,0.59718,0.40343,1.11309,1.33817,1.23244,0.000781033,0.000781033,0.000781033
11,259.55,1.12964,1.45271,1.21643,0.59041,0.58995,0.61365,0.41556,1.13132,1.30035,1.2212,0.00074437,0.00074437,0.00074437
12,283.32,1.0955,1.37344,1.19914,0.72243,0.48218,0.56791,0.3854,1.07022,1.40901,1.17838,0.000707707,0.000707707,0.000707707
13,307.333,1.08242,1.34582,1.19242,0.57646,0.5279,0.57246,0.3774,1.15679,1.51269,1.22028,0.000671044,0.000671044,0.000671044
14,328.741,1.0506,1.2671,1.18067,0.58893,0.32899,0.36073,0.2237,1.19799,2.01231,1.27774,0.000634381,0.000634381,0.000634381
15,350.451,1.06637,1.24366,1.18329,0.63678,0.45109,0.529,0.36227,1.10563,1.63124,1.21753,0.000597718,0.000597718,0.000597718
16,373.911,1.07308,1.19797,1.1714,0.60802,0.61275,0.62625,0.43672,1.05557,1.22386,1.16162,0.000561055,0.000561055,0.000561055
17,395.726,1.04122,1.16583,1.16273,0.57632,0.61885,0.6373,0.43373,1.0129,1.22859,1.14437,0.000524392,0.000524392,0.000524392
18,417.924,1.02175,1.12656,1.16805,0.69974,0.6483,0.70272,0.50053,0.98465,1.12685,1.11856,0.000487729,0.000487729,0.000487729
19,439.94,1.02714,1.10865,1.15746,0.69537,0.64698,0.69121,0.5043,0.98716,1.05817,1.11906,0.000451066,0.000451066,0.000451066
20,462.772,1.00914,1.06073,1.14886,0.73755,0.65213,0.72765,0.51762,1.07424,1.12322,1.14897,0.000414403,0.000414403,0.000414403
21,491.738,0.94762,1.00081,1.10764,0.72516,0.64238,0.69539,0.51049,1.00823,1.21525,1.11818,0.00037774,0.00037774,0.00037774
22,514.179,0.94823,0.91814,1.10157,0.79603,0.64798,0.75273,0.55152,1.00507,0.98791,1.1294,0.000341077,0.000341077,0.000341077
23,537.401,0.92272,0.88461,1.09697,0.74806,0.69526,0.76461,0.56062,1.00012,0.9786,1.11152,0.000304414,0.000304414,0.000304414
24,558.829,0.90913,0.81702,1.07754,0.75412,0.70238,0.75955,0.5643,0.93481,0.94058,1.09173,0.000267751,0.000267751,0.000267751
25,581.622,0.86872,0.78515,1.06189,0.72856,0.68148,0.7443,0.54367,0.9598,0.96004,1.09016,0.000231088,0.000231088,0.000231088
26,603.204,0.8558,0.72557,1.05563,0.84998,0.68432,0.78334,0.57673,0.98099,0.89813,1.1019,0.000194425,0.000194425,0.000194425
27,624.059,0.85543,0.71539,1.04787,0.79975,0.7196,0.80208,0.60157,0.92468,0.86906,1.07755,0.000157762,0.000157762,0.000157762
28,644.835,0.83808,0.6836,1.04448,0.78754,0.73668,0.80869,0.60703,0.91117,0.84178,1.07632,0.000121099,0.000121099,0.000121099
29,665.629,0.81837,0.66173,1.04697,0.79871,0.73187,0.81275,0.61197,0.91709,0.82132,1.08429,8.4436e-05,8.4436e-05,8.4436e-05
30,686.302,0.81443,0.64732,1.03577,0.81833,0.74482,0.82339,0.62199,0.90741,0.79082,1.07555,4.7773e-05,4.7773e-05,4.7773e-05
