epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5683,1.0916,3.49149,1.2455,0.00388,0.91168,0.1756,0.11912,0.82693,3.32928,0.99882,0.00012221,0.00012221,0.00012221
2,33.7298,1.04779,2.70384,1.21234,0.77445,0.04091,0.1988,0.14274,0.90137,2.85299,1.04231,0.000247098,0.000247098,0.000247098
3,47.5887,1.08803,2.19997,1.24809,0.45887,0.18887,0.20427,0.13221,1.10367,2.7456,1.26486,0.000363186,0.000363186,0.000363186
4,62.3604,1.10537,1.99506,1.24694,0.32729,0.39294,0.2741,0.18125,1.11027,2.34925,1.21867,0.000470475,0.000470475,0.000470475
5,76.7297,1.11267,1.84803,1.22865,0.30296,0.22935,0.18999,0.10201,1.37149,2.92909,1.63413,0.000568965,0.000568965,0.000568965
6,91.1601,1.10938,1.79344,1.24607,0.39077,0.31021,0.29883,0.18236,1.21088,2.41263,1.32905,0.000658656,0.000658656,0.000658656
7,106.256,1.1067,1.73353,1.22412,0.37564,0.42155,0.28223,0.17194,1.20712,2.25108,1.33309,0.000739548,0.000739548,0.000739548
8,120.55,1.15777,1.74102,1.26843,0.37401,0.3195,0.29836,0.17877,1.31021,2.59989,1.47322,0.000811641,0.000811641,0.000811641
9,135.791,1.13599,1.66283,1.23603,0.27188,0.40913,0.24422,0.13472,1.30678,2.25602,1.3887,0.000817696,0.000817696,0.000817696
10,150.552,1.12858,1.62222,1.24029,0.35111,0.45863,0.32288,0.18371,1.31264,2.01607,1.45774,0.000781033,0.000781033,0.000781033
11,165.402,1.11947,1.58433,1.22871,0.36788,0.42639,0.35581,0.2192,1.20032,1.92721,1.33623,0.00074437,0.00074437,0.00074437
12,180.166,1.10694,1.5267,1.21823,0.49666,0.48349,0.40861,0.27094,1.14754,1.86133,1.26619,0.000707707,0.000707707,0.000707707
13,194.923,1.0602,1.4399,1.19597,0.41747,0.54117,0.46572,0.30554,1.12865,1.65414,1.25158,0.000671044,0.000671044,0.000671044
14,210.257,1.05555,1.3988,1.20164,0.45852,0.47919,0.43305,0.29247,1.14017,1.76476,1.27362,0.000634381,0.000634381,0.000634381
15,224.705,1.01905,1.32768,1.16801,0.59018,0.48064,0.50462,0.3347,1.16516,1.65981,1.28589,0.000597718,0.000597718,0.000597718
16,239.823,0.99062,1.24417,1.154,0.55675,0.48652,0.47269,0.30861,1.11374,1.6149,1.23754,0.000561055,0.000561055,0.000561055
17,254.265,0.9852,1.18414,1.15045,0.54461,0.49964,0.49328,0.34712,1.069,1.5807,1.19512,0.000524392,0.000524392,0.000524392
18,269.09,0.97851,1.17376,1.14552,0.63058,0.51458,0.55323,0.37793,1.08748,1.43158,1.20374,0.000487729,0.000487729,0.000487729
19,283.415,0.97706,1.17083,1.13883,0.51883,0.57235,0.53301,0.37956,1.04121,1.39955,1.16451,0.000451066,0.000451066,0.000451066
20,298.259,0.9788,1.13441,1.13339,0.69535,0.60538,0.63881,0.46414,1.03425,1.26258,1.15441,0.000414403,0.000414403,0.000414403
21,320.04,0.89296,1.1157,1.08598,0.67975,0.54447,0.60774,0.4297,1.0377,1.42908,1.15348,0.00037774,0.00037774,0.00037774
22,334.524,0.85323,1.03047,1.064,0.63477,0.57832,0.62278,0.42324,1.11629,1.33188,1.19377,0.000341077,0.000341077,0.000341077
23,348.758,0.85509,0.95979,1.05155,0.63589,0.63311,0.60774,0.43138,1.014,1.2975,1.13149,0.000304414,0.000304414,0.000304414
24,362.834,0.83134,0.90963,1.03557,0.69133,0.61901,0.65101,0.46864,1.03648,1.28289,1.15032,0.000267751,0.000267751,0.000267751
25,376.903,0.81432,0.86393,1.02016,0.7602,0.62431,0.71431,0.52983,0.97736,1.14859,1.11033,0.000231088,0.000231088,0.000231088
26,390.115,0.78526,0.81213,1.01938,0.70313,0.66255,0.69878,0.50485,0.9541,1.10484,1.10473,0.000194425,0.000194425,0.000194425
27,405.492,0.76201,0.75349,1.0081,0.71172,0.65164,0.69055,0.51354,0.94608,1.08294,1.09455,0.000157762,0.000157762,0.000157762
28,419.619,0.74046,0.72982,0.99122,0.71858,0.66522,0.70273,0.51911,0.93863,1.06382,1.10236,0.000121099,0.000121099,0.000121099
29,434.82,0.7355,0.70197,0.9992,0.79987,0.61786,0.70792,0.53271,0.93129,1.0434,1.09731,8.4436e-05,8.4436e-05,8.4436e-05
30,448.44,0.7302,0.70382,0.98391,0.7808,0.64726,0.72052,0.54109,0.91213,1.00593,1.08755,4.7773e-05,4.7773e-05,4.7773e-05
