epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9703,1.19099,3.3567,1.2736,0.00474,0.92893,0.17379,0.12006,0.84581,3.26963,0.98798,0.00016665,0.00016665,0.00016665
2,38.184,1.17632,2.39489,1.2563,0.52596,0.03523,0.17775,0.12524,0.9732,2.83268,1.1105,0.000333044,0.000333044,0.000333044
3,54.7539,1.19234,2.03527,1.26064,0.40448,0.14303,0.22217,0.13492,1.18294,2.66191,1.27998,0.000487707,0.000487707,0.000487707
4,71.7721,1.18442,1.96202,1.2744,0.28907,0.38629,0.26141,0.16684,1.15467,2.35953,1.22154,0.000630637,0.000630637,0.000630637
5,88.9477,1.21205,1.89737,1.27106,0.39915,0.27924,0.26568,0.15597,1.277,2.34986,1.29836,0.000761835,0.000761835,0.000761835
6,106.022,1.23885,1.85526,1.30281,0.25263,0.29473,0.17483,0.09263,1.48321,2.67643,1.55097,0.000881301,0.000881301,0.000881301
7,122.887,1.2161,1.80597,1.28312,0.21931,0.49695,0.24935,0.14933,1.24937,2.69984,1.38508,0.000891022,0.000891022,0.000891022
8,139.878,1.25609,1.80469,1.30945,0.17537,0.47327,0.18968,0.0992,1.40112,4.3433,1.7753,0.000854359,0.000854359,0.000854359
9,157.131,1.22056,1.71554,1.29229,0.32207,0.33376,0.19156,0.10618,1.39016,3.60238,1.57659,0.000817696,0.000817696,0.000817696
10,173.785,1.20061,1.60979,1.26677,0.35458,0.46624,0.35035,0.22441,1.25941,2.15488,1.42266,0.000781033,0.000781033,0.000781033
11,190.935,1.16008,1.57305,1.25152,0.41326,0.38799,0.33954,0.21175,1.24512,2.41778,1.43008,0.00074437,0.00074437,0.00074437
12,207.823,1.16155,1.52339,1.24903,0.49167,0.486,0.45464,0.2784,1.21083,1.85669,1.29237,0.000707707,0.000707707,0.000707707
13,224.959,1.11928,1.45468,1.23344,0.46849,0.48673,0.44344,0.28743,1.16328,1.64736,1.30907,0.000671044,0.000671044,0.000671044
14,241.762,1.11186,1.43513,1.21742,0.55691,0.57373,0.53753,0.35392,1.15039,1.54624,1.27627,0.000634381,0.000634381,0.000634381
15,258.676,1.12934,1.35776,1.23408,0.591,0.59516,0.582,0.3978,1.07876,1.42131,1.19349,0.000597718,0.000597718,0.000597718
16,275.189,1.1184,1.34847,1.22719,0.5204,0.57092,0.5362,0.36535,1.0973,1.51068,1.21704,0.000561055,0.000561055,0.000561055
17,292.491,1.09445,1.28329,1.2047,0.63598,0.57685,0.60609,0.41444,1.02126,1.38115,1.16344,0.000524392,0.000524392,0.000524392
18,308.94,1.06467,1.21403,1.18954,0.7089,0.5385,0.58819,0.41732,1.02708,1.26356,1.15231,0.000487729,0.000487729,0.000487729
19,325.754,1.05596,1.16324,1.17754,0.75386,0.58086,0.657,0.45746,1.02134,1.17744,1.17344,0.000451066,0.000451066,0.000451066
20,342.877,1.03465,1.13905,1.18178,0.63212,0.62747,0.66021,0.45688,1.00999,1.16771,1.14695,0.000414403,0.000414403,0.000414403
21,366.546,0.98784,1.15474,1.13797,0.64424,0.60449,0.64743,0.45814,0.98124,1.2325,1.12477,0.00037774,0.00037774,0.00037774
22,383.376,0.95205,1.00318,1.10053,0.68937,0.61201,0.63673,0.44967,0.99415,1.22023,1.13364,0.000341077,0.000341077,0.000341077
23,400.011,0.94096,0.95338,1.10897,0.68971,0.62821,0.67223,0.48646,0.95813,1.14978,1.11009,0.000304414,0.000304414,0.000304414
24,416.612,0.91289,0.90312,1.08829,0.6807,0.65272,0.68054,0.49665,0.98376,1.14128,1.13199,0.000267751,0.000267751,0.000267751
25,433.269,0.9076,0.87809,1.0881,0.74524,0.64807,0.71604,0.503,0.96762,1.11049,1.11206,0.000231088,0.000231088,0.000231088
26,450.055,0.8872,0.83791,1.0697,0.6731,0.65488,0.69487,0.49899,0.94286,1.03659,1.10466,0.000194425,0.000194425,0.000194425
27,466.547,0.86562,0.80889,1.06489,0.75761,0.66951,0.74148,0.53679,0.93665,0.99819,1.0918,0.000157762,0.000157762,0.000157762
28,483.3,0.85143,0.77384,1.05332,0.77441,0.68529,0.75719,0.55588,0.9426,0.95433,1.08999,0.000121099,0.000121099,0.000121099
29,499.663,0.83127,0.75161,1.03865,0.7793,0.69185,0.7577,0.56523,0.91397,0.91384,1.08231,8.4436e-05,8.4436e-05,8.4436e-05
30,516.326,0.81864,0.71141,1.04081,0.78995,0.68356,0.76646,0.56409,0.92388,0.91227,1.08145,4.7773e-05,4.7773e-05,4.7773e-05
