epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.9018,1.06117,2.98539,1.22815,0.7624,0.06501,0.20744,0.15223,0.96284,2.80616,1.09425,0.00029997,0.00029997,0.00029997
2,54.4337,1.06375,1.95958,1.23162,0.40238,0.36094,0.34452,0.22854,1.11314,2.35342,1.21502,0.000590885,0.000590885,0.000590885
3,80.0681,1.09716,1.72421,1.225,0.34758,0.35366,0.29945,0.17262,1.34154,2.56153,1.52516,0.000861269,0.000861269,0.000861269
4,105.148,1.14844,1.6737,1.24321,0.26508,0.32337,0.18069,0.09537,1.4965,2.70871,1.60269,0.00100101,0.00100101,0.00100101
5,130.482,1.15238,1.64845,1.25659,0.39504,0.39633,0.25738,0.1459,1.32217,2.60317,1.40514,0.000964348,0.000964348,0.000964348
6,155.189,1.09834,1.48415,1.20948,0.37092,0.48663,0.34741,0.2037,1.45049,2.18595,1.53212,0.000927685,0.000927685,0.000927685
7,180.32,1.05777,1.3942,1.18718,0.37867,0.40515,0.3323,0.17974,1.42255,1.95549,1.59494,0.000891022,0.000891022,0.000891022
8,205.194,1.06449,1.30683,1.18907,0.59627,0.47754,0.5027,0.33528,1.11961,1.45842,1.21882,0.000854359,0.000854359,0.000854359
9,230.905,1.04601,1.27259,1.18333,0.55891,0.50021,0.51571,0.32358,1.14278,1.40128,1.25,0.000817696,0.000817696,0.000817696
10,255.603,1.03011,1.18164,1.16959,0.5808,0.39799,0.45168,0.29201,1.14293,1.61629,1.24408,0.000781033,0.000781033,0.000781033
11,279.633,0.99786,1.12618,1.15631,0.60393,0.54751,0.56125,0.38206,1.06981,1.33155,1.19963,0.00074437,0.00074437,0.00074437
12,303.83,1.01313,1.13282,1.16595,0.5707,0.61876,0.59248,0.41163,1.03809,1.35522,1.15397,0.000707707,0.000707707,0.000707707
13,328.062,0.98943,1.10241,1.15464,0.66755,0.6446,0.67036,0.50008,1.00046,1.1889,1.12755,0.000671044,0.000671044,0.000671044
14,351.723,0.967,1.01868,1.13857,0.61713,0.58465,0.60823,0.4365,1.03786,1.26534,1.16353,0.000634381,0.000634381,0.000634381
15,376.133,0.9567,1.01796,1.1447,0.64721,0.58183,0.6202,0.44711,1.005,1.14555,1.14333,0.000597718,0.000597718,0.000597718
16,399.66,0.96445,1.00011,1.14238,0.70316,0.59338,0.65181,0.45736,1.00372,1.15269,1.12127,0.000561055,0.000561055,0.000561055
17,425.254,0.93331,0.94615,1.12254,0.68557,0.72189,0.75868,0.56354,0.96532,0.96957,1.11032,0.000524392,0.000524392,0.000524392
18,448.543,0.92529,0.94309,1.1289,0.78346,0.63847,0.73519,0.54138,0.98618,1.03486,1.10592,0.000487729,0.000487729,0.000487729
19,472.644,0.9237,0.90666,1.12535,0.75709,0.62666,0.72237,0.53611,0.94278,0.99179,1.08665,0.000451066,0.000451066,0.000451066
20,496.882,0.90847,0.87884,1.11306,0.72534,0.64886,0.70757,0.51564,0.94624,0.98971,1.09305,0.000414403,0.000414403,0.000414403
21,526.399,0.84704,0.82226,1.06958,0.71414,0.67206,0.72939,0.5339,0.97627,1.04381,1.13563,0.00037774,0.00037774,0.00037774
22,550.729,0.82667,0.72819,1.05851,0.71757,0.68654,0.74035,0.55003,0.92552,0.96277,1.0813,0.000341077,0.000341077,0.000341077
23,574.848,0.78816,0.66819,1.03014,0.76384,0.71965,0.76929,0.57748,0.92904,0.91481,1.08947,0.000304414,0.000304414,0.000304414
24,598.17,0.78574,0.65646,1.02752,0.81283,0.70298,0.76175,0.5755,0.92191,0.89205,1.06403,0.000267751,0.000267751,0.000267751
25,622.039,0.76462,0.60506,1.02658,0.77201,0.68435,0.74154,0.55225,0.91759,0.96527,1.08877,0.000231088,0.000231088,0.000231088
26,645.511,0.75551,0.5823,1.01245,0.78181,0.71819,0.77499,0.57845,0.8985,0.87209,1.06647,0.000194425,0.000194425,0.000194425
27,669.783,0.7378,0.55205,1.00906,0.78354,0.71562,0.76697,0.57145,0.91266,0.93852,1.07617,0.000157762,0.000157762,0.000157762
28,693.257,0.72436,0.53441,0.99369,0.80078,0.71867,0.79143,0.59974,0.89122,0.84042,1.06733,0.000121099,0.000121099,0.000121099
29,717.439,0.71145,0.51007,0.99831,0.79438,0.72068,0.80078,0.60495,0.88935,0.82679,1.06029,8.4436e-05,8.4436e-05,8.4436e-05
30,740.874,0.70262,0.4913,0.98274,0.82643,0.72315,0.79767,0.60519,0.88517,0.80978,1.0578,4.7773e-05,4.7773e-05,4.7773e-05
