epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3932,1.13728,3.29982,1.26624,0.00415,0.89032,0.15747,0.11199,0.83242,3.27604,1.00715,0.00016665,0.00016665,0.00016665
2,34.1168,1.11305,2.25005,1.22955,0.43336,0.10035,0.20624,0.1491,1.06994,2.83015,1.19876,0.000333044,0.000333044,0.000333044
3,48.9335,1.10654,1.96804,1.21478,0.39308,0.27771,0.28537,0.20129,1.1011,2.56576,1.2119,0.000487707,0.000487707,0.000487707
4,63.4444,1.11359,1.83452,1.21888,0.4602,0.32027,0.32253,0.21564,1.09817,2.36658,1.20438,0.000630637,0.000630637,0.000630637
5,77.4185,1.15305,1.78467,1.24012,0.31292,0.28946,0.23998,0.14672,1.35238,2.68818,1.46282,0.000761835,0.000761835,0.000761835
6,91.5995,1.14929,1.71943,1.2426,0.38292,0.37757,0.20296,0.11058,1.44093,3.11769,1.67785,0.000881301,0.000881301,0.000881301
7,106.518,1.18287,1.69551,1.25794,0.36611,0.33212,0.24561,0.13882,1.38095,2.42734,1.48317,0.000891022,0.000891022,0.000891022
8,121.067,1.1563,1.66326,1.26114,0.4277,0.26836,0.21009,0.11032,1.45639,2.59691,1.63131,0.000854359,0.000854359,0.000854359
9,135.964,1.13411,1.55277,1.22377,0.32534,0.44316,0.31912,0.18888,1.41128,2.18617,1.55873,0.000817696,0.000817696,0.000817696
10,150.937,1.14788,1.51248,1.23842,0.31825,0.44554,0.34277,0.19172,1.39914,2.27233,1.5235,0.000781033,0.000781033,0.000781033
11,165.612,1.08778,1.43036,1.20394,0.5946,0.45985,0.46002,0.29504,1.1566,1.92516,1.28778,0.00074437,0.00074437,0.00074437
12,180.035,1.069,1.32536,1.18807,0.61955,0.42751,0.41826,0.27326,1.10482,1.72705,1.22578,0.000707707,0.000707707,0.000707707
13,194.509,1.07213,1.30595,1.19304,0.52902,0.4726,0.46424,0.30007,1.09431,1.6927,1.22302,0.000671044,0.000671044,0.000671044
14,208.878,1.05421,1.24153,1.18155,0.6127,0.5886,0.59462,0.40154,1.11949,1.377,1.20166,0.000634381,0.000634381,0.000634381
15,223.495,1.03161,1.1849,1.17038,0.64034,0.56274,0.57305,0.38494,1.17313,1.47072,1.21711,0.000597718,0.000597718,0.000597718
16,238.178,1.03135,1.17311,1.15585,0.64651,0.61023,0.63516,0.44249,1.04814,1.28457,1.16511,0.000561055,0.000561055,0.000561055
17,252.959,1.00963,1.1303,1.14398,0.58916,0.57897,0.60353,0.42235,1.04015,1.24975,1.15305,0.000524392,0.000524392,0.000524392
18,267.37,0.97865,1.06797,1.13792,0.67659,0.61182,0.6509,0.46109,1.04602,1.20596,1.14613,0.000487729,0.000487729,0.000487729
19,281.649,0.96322,1.03929,1.14044,0.63131,0.51548,0.55761,0.37319,1.03986,1.38778,1.16692,0.000451066,0.000451066,0.000451066
20,296.578,0.98449,0.99672,1.13362,0.73532,0.61141,0.68218,0.49015,1.00961,1.11466,1.13093,0.000414403,0.000414403,0.000414403
21,318.033,0.91307,0.99717,1.08696,0.70526,0.62172,0.66101,0.45588,1.00822,1.18265,1.13805,0.00037774,0.00037774,0.00037774
22,332.381,0.90221,0.915,1.07,0.69227,0.60153,0.65774,0.4585,1.03288,1.21997,1.15347,0.000341077,0.000341077,0.000341077
23,346.346,0.86331,0.81977,1.04812,0.78277,0.60534,0.69073,0.49323,1.0098,1.10477,1.123,0.000304414,0.000304414,0.000304414
24,361.174,0.85931,0.79188,1.0535,0.74104,0.63833,0.72285,0.51998,1.00411,1.09061,1.12378,0.000267751,0.000267751,0.000267751
25,375.295,0.83555,0.74215,1.03846,0.76619,0.67592,0.74352,0.54745,0.99577,1.01044,1.10614,0.000231088,0.000231088,0.000231088
26,388.909,0.80584,0.71378,1.01597,0.74094,0.69066,0.74731,0.55044,0.99909,1.02677,1.10342,0.000194425,0.000194425,0.000194425
27,403.393,0.81761,0.68909,1.04303,0.74058,0.69503,0.74569,0.54314,0.97549,1.02466,1.09125,0.000157762,0.000157762,0.000157762
28,416.741,0.79674,0.65621,1.01772,0.77433,0.71533,0.76706,0.56403,0.95136,0.98981,1.09126,0.000121099,0.000121099,0.000121099
29,431.621,0.76287,0.62478,1.00414,0.77723,0.6963,0.77199,0.5765,0.94448,0.95499,1.09132,8.4436e-05,8.4436e-05,8.4436e-05
30,445.178,0.75845,0.62339,1.00277,0.79091,0.71918,0.78502,0.59232,0.93414,0.90493,1.07549,4.7773e-05,4.7773e-05,4.7773e-05
